"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000307975.2_ASM30797v2","GCA_003012895.2_ASM301289v2","GCA_000015425.1_ASM1542v1","GCA_000189735.2_ASM18973v2","GCA_002009115.1_ASM200911v1","GCA_002762545.2_ASM276254v2","GCA_003359255.2_ASM335925v2","GCA_003627485.2_ASM362748v2","GCA_005280395.1_ASM528039v1","GCA_005280355.1_ASM528035v1"
"GCA_000015425.1_ASM1542v1_CDS_1273","cloud","","1","1","1.0","NA","NA","","","","791","791","791.0","","","GCA_000015425.1_ASM1542v1_CDS_1273","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_1305","cloud","","1","1","1.0","NA","NA","","","","314","314","314.0","","","GCA_000015425.1_ASM1542v1_CDS_1305","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_1465","cloud","","1","1","1.0","NA","NA","","","","3005","3005","3005.0","","","GCA_000015425.1_ASM1542v1_CDS_1465","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_1529","cloud","","2","2","1.0","NA","NA","","","","209","395","302.0","","","GCA_000015425.1_ASM1542v1_CDS_1529","","","","GCA_003359255.2_ASM335925v2_CDS_2511","","",""
"GCA_000015425.1_ASM1542v1_CDS_1818","cloud","","1","1","1.0","NA","NA","","","","194","194","194.0","","","GCA_000015425.1_ASM1542v1_CDS_1818","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_2330","cloud","","1","1","1.0","NA","NA","","","","323","323","323.0","","","GCA_000015425.1_ASM1542v1_CDS_2330","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_2362","cloud","","4","4","1.0","NA","NA","","","","404","407","405.5","","","GCA_000015425.1_ASM1542v1_CDS_2362","GCA_000189735.2_ASM18973v2_CDS_2863","","GCA_002762545.2_ASM276254v2_CDS_2459","","","GCA_005280395.1_ASM528039v1_CDS_0811",""
"GCA_000015425.1_ASM1542v1_CDS_2778","cloud","","1","1","1.0","NA","NA","","","","947","947","947.0","","","GCA_000015425.1_ASM1542v1_CDS_2778","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_2906","cloud","","1","1","1.0","NA","NA","","","","398","398","398.0","","","GCA_000015425.1_ASM1542v1_CDS_2906","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_2938","cloud","","1","1","1.0","NA","NA","","","","644","644","644.0","","","GCA_000015425.1_ASM1542v1_CDS_2938","","","","","","",""
"GCA_000015425.1_ASM1542v1_CDS_3226","cloud","","4","5","1.25","NA","NA","","","","458","2204","1744.4","","GCA_003012895.2_ASM301289v2_CDS_0212" "GCA_003012895.2_ASM301289v2_CDS_0211","GCA_000015425.1_ASM1542v1_CDS_3226","GCA_000189735.2_ASM18973v2_CDS_3386","","","","","GCA_005280395.1_ASM528039v1_CDS_3948",""
"GCA_000015425.1_ASM1542v1_CDS_3834","cloud","","2","2","1.0","NA","NA","","","","485","485","485.0","","","GCA_000015425.1_ASM1542v1_CDS_3834","","","","","GCA_003627485.2_ASM362748v2_CDS_0357","",""
"GCA_002762545.2_ASM276254v2_CDS_2472","cloud","","2","2","1.0","NA","NA","","","","143","143","143.0","","","","GCA_000189735.2_ASM18973v2_CDS_2850","","GCA_002762545.2_ASM276254v2_CDS_2472","","","",""
"GCA_002762545.2_ASM276254v2_CDS_2664","cloud","","4","4","1.0","NA","NA","","","","659","923","824.0","","","","GCA_000189735.2_ASM18973v2_CDS_1316","","GCA_002762545.2_ASM276254v2_CDS_2664","GCA_003359255.2_ASM335925v2_CDS_2179","GCA_003627485.2_ASM362748v2_CDS_1581","",""
"GCA_002762545.2_ASM276254v2_CDS_3240","cloud","","2","2","1.0","NA","NA","","","","293","293","293.0","","","","GCA_000189735.2_ASM18973v2_CDS_2667","","GCA_002762545.2_ASM276254v2_CDS_3240","","","",""
"GCA_003359255.2_ASM335925v2_CDS_0280","cloud","","1","1","1.0","NA","NA","","","","725","725","725.0","","","","","","","GCA_003359255.2_ASM335925v2_CDS_0280","","",""
"GCA_003359255.2_ASM335925v2_CDS_0440","cloud","","1","1","1.0","NA","NA","","","","239","239","239.0","","","","","","","GCA_003359255.2_ASM335925v2_CDS_0440","","",""
"GCA_003359255.2_ASM335925v2_CDS_0568","persistent","","10","10","1.0","NA","NA","","","","1238","1328","1311.8","GCA_000307975.2_ASM30797v2_CDS_2089","GCA_003012895.2_ASM301289v2_CDS_0432","GCA_000015425.1_ASM1542v1_CDS_3519","GCA_000189735.2_ASM18973v2_CDS_3590","GCA_002009115.1_ASM200911v1_CDS_2148","GCA_002762545.2_ASM276254v2_CDS_1751","GCA_003359255.2_ASM335925v2_CDS_0568","GCA_003627485.2_ASM362748v2_CDS_0679","GCA_005280395.1_ASM528039v1_CDS_3731","GCA_005280355.1_ASM528035v1_CDS_3448"
"GCA_003359255.2_ASM335925v2_CDS_1371","cloud","","1","1","1.0","NA","NA","","","","296","296","296.0","","","","","","","GCA_003359255.2_ASM335925v2_CDS_1371","","",""
"GCA_005280355.1_ASM528035v1_CDS_2663","cloud","","1","1","1.0","NA","NA","","","","1322","1322","1322.0","","","","","","","","","","GCA_005280355.1_ASM528035v1_CDS_2663"
"GCA_005280355.1_ASM528035v1_CDS_2695","cloud","","2","2","1.0","NA","NA","","","","812","812","812.0","","","","","","","","GCA_003627485.2_ASM362748v2_CDS_0387","","GCA_005280355.1_ASM528035v1_CDS_2695"
"GCA_005280355.1_ASM528035v1_CDS_3882","cloud","","1","1","1.0","NA","NA","","","","95","95","95.0","","","","","","","","","","GCA_005280355.1_ASM528035v1_CDS_3882"
"GCA_005280355.1_ASM528035v1_CDS_4010","cloud","","1","3","3.0","NA","NA","","","","101","752","410.0","","","","","","","","","","GCA_005280355.1_ASM528035v1_CDS_4010" "GCA_005280355.1_ASM528035v1_CDS_0018" "GCA_005280355.1_ASM528035v1_CDS_0019"
"GCA_000307975.2_ASM30797v2_CDS_0096","cloud","","2","2","1.0","NA","NA","","","","524","2024","1274.0","GCA_000307975.2_ASM30797v2_CDS_0096","","","","GCA_002009115.1_ASM200911v1_CDS_1866","","","","",""
"GCA_000307975.2_ASM30797v2_CDS_0992","cloud","","2","2","1.0","NA","NA","","","","1352","1352","1352.0","GCA_000307975.2_ASM30797v2_CDS_0992","","GCA_000015425.1_ASM1542v1_CDS_0065","","","","","","",""
"GCA_005280395.1_ASM528039v1_CDS_4181","cloud","","2","3","1.5","NA","NA","","","","1163","2738","1827.0","","","GCA_000015425.1_ASM1542v1_CDS_0723" "GCA_000015425.1_ASM1542v1_CDS_0722","","","","","","GCA_005280395.1_ASM528039v1_CDS_4181",""
"GCA_005280395.1_ASM528039v1_CDS_4213","cloud","","1","1","1.0","NA","NA","","","","3680","3680","3680.0","","","","","","","","","GCA_005280395.1_ASM528039v1_CDS_4213",""
"GCA_005280395.1_ASM528039v1_CDS_4245","cloud","","2","2","1.0","NA","NA","","","","692","692","692.0","","GCA_003012895.2_ASM301289v2_CDS_0923","","","","","","","GCA_005280395.1_ASM528039v1_CDS_4245",""
"GCA_005280395.1_ASM528039v1_CDS_4341","cloud","","2","2","1.0","NA","NA","","","","557","557","557.0","","","GCA_000015425.1_ASM1542v1_CDS_0646","","","","","","GCA_005280395.1_ASM528039v1_CDS_4341",""
"GCA_005280355.1_ASM528035v1_CDS_2665","cloud","","1","1","1.0","NA","NA","","","","1676","1676","1676.0","","","","","","","","","","GCA_005280355.1_ASM528035v1_CDS_2665"
"GCA_005280395.1_ASM528039v1_CDS_2003","cloud","","1","1","1.0","NA","NA","","","","530","530","530.0","","","","","","","","","GCA_005280395.1_ASM528039v1_CDS_2003",""
"GCA_005280395.1_ASM528039v1_CDS_2067","cloud","","1","1","1.0","NA","NA","","","","263","263","263.0","","","","","","","","","GCA_005280395.1_ASM528039v1_CDS_2067",""
"GCA_005280395.1_ASM528039v1_CDS_2099","persistent","","10","11","1.1","NA","NA","","","","479","1208","1075.73","GCA_000307975.2_ASM30797v2_CDS_2839","GCA_003012895.2_ASM301289v2_CDS_1972","GCA_000015425.1_ASM1542v1_CDS_1152","GCA_000189735.2_ASM18973v2_CDS_1282","GCA_002009115.1_ASM200911v1_CDS_0487","GCA_002762545.2_ASM276254v2_CDS_3257","GCA_003359255.2_ASM335925v2_CDS_2122" "GCA_003359255.2_ASM335925v2_CDS_2121","GCA_003627485.2_ASM362748v2_CDS_2916","GCA_005280395.1_ASM528039v1_CDS_2099","GCA_005280355.1_ASM528035v1_CDS_1542"
"GCA_005280395.1_ASM528039v1_CDS_2195","persistent","","10","10","1.0","NA","NA","","","","233","557","519.8","GCA_000307975.2_ASM30797v2_CDS_3456","GCA_003012895.2_ASM301289v2_CDS_1953","GCA_000015425.1_ASM1542v1_CDS_1129","GCA_000189735.2_ASM18973v2_CDS_1135","GCA_002009115.1_ASM200911v1_CDS_0586","GCA_002762545.2_ASM276254v2_CDS_0127","GCA_003359255.2_ASM335925v2_CDS_3842","GCA_003627485.2_ASM362748v2_CDS_3970","GCA_005280395.1_ASM528039v1_CDS_2195","GCA_005280355.1_ASM528035v1_CDS_1639"
"GCA_005280395.1_ASM528039v1_CDS_2227","persistent","","10","10","1.0","NA","NA","","","","677","677","677.0","GCA_000307975.2_ASM30797v2_CDS_2219","GCA_003012895.2_ASM301289v2_CDS_1916","GCA_000015425.1_ASM1542v1_CDS_1097","GCA_000189735.2_ASM18973v2_CDS_1105","GCA_002009115.1_ASM200911v1_CDS_0619","GCA_002762545.2_ASM276254v2_CDS_0160","GCA_003359255.2_ASM335925v2_CDS_3887","GCA_003627485.2_ASM362748v2_CDS_3938","GCA_005280395.1_ASM528039v1_CDS_2227","GCA_005280355.1_ASM528035v1_CDS_1671"
"GCA_005280395.1_ASM528039v1_CDS_2323","cloud","","1","1","1.0","NA","NA","","","","959","959","959.0","","","","","","","","","GCA_005280395.1_ASM528039v1_CDS_2323",""
"GCA_005280395.1_ASM528039v1_CDS_2355","persistent","","6","7","1.17","NA","NA","","","","206","251","244.57","GCA_000307975.2_ASM30797v2_CDS_2352","","","GCA_000189735.2_ASM18973v2_CDS_2436" "GCA_000189735.2_ASM18973v2_CDS_0976","","GCA_002762545.2_ASM276254v2_CDS_0281","","GCA_003627485.2_ASM362748v2_CDS_3813","GCA_005280395.1_ASM528039v1_CDS_2355","GCA_005280355.1_ASM528035v1_CDS_1808"
"GCA_005280395.1_ASM528039v1_CDS_2419","cloud","","5","5","1.0","NA","NA","","","","215","215","215.0","GCA_000307975.2_ASM30797v2_CDS_2413","","","GCA_000189735.2_ASM18973v2_CDS_0920","GCA_002009115.1_ASM200911v1_CDS_0817","GCA_002762545.2_ASM276254v2_CDS_0342","","","GCA_005280395.1_ASM528039v1_CDS_2419",""
"GCA_005280395.1_ASM528039v1_CDS_2451","persistent","","10","10","1.0","NA","NA","","","","2039","2039","2039.0","GCA_000307975.2_ASM30797v2_CDS_2444","GCA_003012895.2_ASM301289v2_CDS_1808","GCA_000015425.1_ASM1542v1_CDS_0985","GCA_000189735.2_ASM18973v2_CDS_0884","GCA_002009115.1_ASM200911v1_CDS_0848","GCA_002762545.2_ASM276254v2_CDS_0374","GCA_003359255.2_ASM335925v2_CDS_4042","GCA_003627485.2_ASM362748v2_CDS_3716","GCA_005280395.1_ASM528039v1_CDS_2451","GCA_005280355.1_ASM528035v1_CDS_1903"
"GCA_005280395.1_ASM528039v1_CDS_2516","persistent","","10","12","1.2","NA","NA","","","","344","986","816.25","GCA_000307975.2_ASM30797v2_CDS_1472","GCA_003012895.2_ASM301289v2_CDS_1739" "GCA_003012895.2_ASM301289v2_CDS_1738","GCA_000015425.1_ASM1542v1_CDS_0920","GCA_000189735.2_ASM18973v2_CDS_0824","GCA_002009115.1_ASM200911v1_CDS_0912","GCA_002762545.2_ASM276254v2_CDS_0437","GCA_003359255.2_ASM335925v2_CDS_4132" "GCA_003359255.2_ASM335925v2_CDS_4131","GCA_003627485.2_ASM362748v2_CDS_3654","GCA_005280395.1_ASM528039v1_CDS_2516","GCA_005280355.1_ASM528035v1_CDS_1967"
"GCA_005280395.1_ASM528039v1_CDS_2548","cloud","","1","1","1.0","NA","NA","","","","1310","1310","1310.0","","","","","","","","","GCA_005280395.1_ASM528039v1_CDS_2548",""
"GCA_005280395.1_ASM528039v1_CDS_2580","persistent","","10","10","1.0","NA","NA","","","","479","509","503.0","GCA_000307975.2_ASM30797v2_CDS_1409","GCA_003012895.2_ASM301289v2_CDS_1665","GCA_000015425.1_ASM1542v1_CDS_0853","GCA_000189735.2_ASM18973v2_CDS_0761","GCA_002009115.1_ASM200911v1_CDS_0975","GCA_002762545.2_ASM276254v2_CDS_0501","GCA_003359255.2_ASM335925v2_CDS_4222","GCA_003627485.2_ASM362748v2_CDS_3586","GCA_005280395.1_ASM528039v1_CDS_2580","GCA_005280355.1_ASM528035v1_CDS_2030"
"GCA_005280395.1_ASM528039v1_CDS_2740","persistent","","10","10","1.0","NA","NA","","","","602","989","950.3","GCA_000307975.2_ASM30797v2_CDS_1970","GCA_003012895.2_ASM301289v2_CDS_1481","GCA_000015425.1_ASM1542v1_CDS_0552","GCA_000189735.2_ASM18973v2_CDS_0593","GCA_002009115.1_ASM200911v1_CDS_1156","GCA_002762545.2_ASM276254v2_CDS_0679","GCA_003359255.2_ASM335925v2_CDS_4461","GCA_003627485.2_ASM362748v2_CDS_3410","GCA_005280395.1_ASM528039v1_CDS_2740","GCA_005280355.1_ASM528035v1_CDS_2210"
"GCA_005280395.1_ASM528039v1_CDS_2772","persistent","","10","11","1.1","NA","NA","","","","275","620","563.82","GCA_000307975.2_ASM30797v2_CDS_1919","GCA_003012895.2_ASM301289v2_CDS_1448","GCA_000015425.1_ASM1542v1_CDS_0498","GCA_000189735.2_ASM18973v2_CDS_0542","GCA_002009115.1_ASM200911v1_CDS_1212","GCA_002762545.2_ASM276254v2_CDS_0732" "GCA_002762545.2_ASM276254v2_CDS_0731","GCA_003359255.2_ASM335925v2_CDS_4539","GCA_003627485.2_ASM362748v2_CDS_3359","GCA_005280395.1_ASM528039v1_CDS_2772","GCA_005280355.1_ASM528035v1_CDS_2262"
"GCA_005280395.1_ASM528039v1_CDS_2804","persistent","","10","12","1.2","NA","NA","","","","233","1055","876.5","GCA_000307975.2_ASM30797v2_CDS_0431","GCA_003012895.2_ASM301289v2_CDS_1416" "GCA_003012895.2_ASM301289v2_CDS_1415","GCA_000015425.1_ASM1542v1_CDS_0468","GCA_000189735.2_ASM18973v2_CDS_0513","GCA_002009115.1_ASM200911v1_CDS_1245","GCA_002762545.2_ASM276254v2_CDS_0763","GCA_003359255.2_ASM335925v2_CDS_4590" "GCA_003359255.2_ASM335925v2_CDS_4591","GCA_003627485.2_ASM362748v2_CDS_3329","GCA_005280395.1_ASM528039v1_CDS_2804","GCA_005280355.1_ASM528035v1_CDS_2295"
"GCA_005280395.1_ASM528039v1_CDS_2900","persistent","","10","10","1.0","NA","NA","","","","956","956","956.0","GCA_000307975.2_ASM30797v2_CDS_1663","GCA_003012895.2_ASM301289v2_CDS_1316","GCA_000015425.1_ASM1542v1_CDS_0376","GCA_000189735.2_ASM18973v2_CDS_0418","GCA_002009115.1_ASM200911v1_CDS_1337","GCA_002762545.2_ASM276254v2_CDS_0857","GCA_003359255.2_ASM335925v2_CDS_4720","GCA_003627485.2_ASM362748v2_CDS_3238","GCA_005280395.1_ASM528039v1_CDS_2900","GCA_005280355.1_ASM528035v1_CDS_2386"
"GCA_005280395.1_ASM528039v1_CDS_2932","persistent","","10","10","1.0","NA","NA","","","","1712","1712","1712.0","GCA_000307975.2_ASM30797v2_CDS_1694","GCA_003012895.2_ASM301289v2_CDS_1279","GCA_000015425.1_ASM1542v1_CDS_0342","GCA_000189735.2_ASM18973v2_CDS_0386","GCA_002009115.1_ASM200911v1_CDS_1369","GCA_002762545.2_ASM276254v2_CDS_0888","GCA_003359255.2_ASM335925v2_CDS_4773","GCA_003627485.2_ASM362748v2_CDS_3205","GCA_005280395.1_ASM528039v1_CDS_2932","GCA_005280355.1_ASM528035v1_CDS_2417"
"GCA_005280395.1_ASM528039v1_CDS_2997","persistent","","10","10","1.0","NA","NA","","","","269","269","269.0","GCA_000307975.2_ASM30797v2_CDS_2977","GCA_003012895.2_ASM301289v2_CDS_1200","GCA_000015425.1_ASM1542v1_CDS_0273","GCA_000189735.2_ASM18973v2_CDS_0320","GCA_002009115.1_ASM200911v1_CDS_1437","GCA_002762545.2_ASM276254v2_CDS_0955","GCA_003359255.2_ASM335925v2_CDS_4865","GCA_003627485.2_ASM362748v2_CDS_3138","GCA_005280395.1_ASM528039v1_CDS_2997","GCA_005280355.1_ASM528035v1_CDS_2484"
"GCA_005280395.1_ASM528039v1_CDS_3093","persistent","","9","9","1.0","NA","NA","","","","206","206","206.0","GCA_000307975.2_ASM30797v2_CDS_0883","GCA_003012895.2_ASM301289v2_CDS_1116","GCA_000015425.1_ASM1542v1_CDS_0185","GCA_000189735.2_ASM18973v2_CDS_0194","GCA_002009115.1_ASM200911v1_CDS_1566","GCA_002762545.2_ASM276254v2_CDS_1134","","GCA_003627485.2_ASM362748v2_CDS_0061","GCA_005280395.1_ASM528039v1_CDS_3093","GCA_005280355.1_ASM528035v1_CDS_2595"
"GCA_005280395.1_ASM528039v1_CDS_3222","cloud","","1","1","1.0","NA","NA","","","","686","686","686.0","","","","","","","","","GCA_005280395.1_ASM528039v1_CDS_3222",""
"GCA_005280395.1_ASM528039v1_CDS_3254","persistent","","10","10","1.0","NA","NA","","","","320","320","320.0","GCA_000307975.2_ASM30797v2_CDS_1017","GCA_003012895.2_ASM301289v2_CDS_0976","GCA_000015425.1_ASM1542v1_CDS_0040","GCA_000189735.2_ASM18973v2_CDS_0062","GCA_002009115.1_ASM200911v1_CDS_1703","GCA_002762545.2_ASM276254v2_CDS_1292","GCA_003359255.2_ASM335925v2_CDS_5183","GCA_003627485.2_ASM362748v2_CDS_0207","GCA_005280395.1_ASM528039v1_CDS_3254","GCA_005280355.1_ASM528035v1_CDS_2814"
"GCA_005280395.1_ASM528039v1_CDS_3286","persistent","","10","10","1.0","NA","NA","","","","554","554","554.0","GCA_000307975.2_ASM30797v2_CDS_1876","GCA_003012895.2_ASM301289v2_CDS_0950","GCA_000015425.1_ASM1542v1_CDS_3385","GCA_000189735.2_ASM18973v2_CDS_0040","GCA_002009115.1_ASM200911v1_CDS_1725","GCA_002762545.2_ASM276254v2_CDS_1351","GCA_003359255.2_ASM335925v2_CDS_5215","GCA_003627485.2_ASM362748v2_CDS_0231","GCA_005280395.1_ASM528039v1_CDS_3286","GCA_005280355.1_ASM528035v1_CDS_3839"
"GCA_005280395.1_ASM528039v1_CDS_3318","persistent","","10","12","1.2","NA","NA","","","","212","2468","2056.0","GCA_000307975.2_ASM30797v2_CDS_1907","GCA_003012895.2_ASM301289v2_CDS_0906","GCA_000015425.1_ASM1542v1_CDS_0004","GCA_000189735.2_ASM18973v2_CDS_0009","GCA_002009115.1_ASM200911v1_CDS_1757","GCA_002762545.2_ASM276254v2_CDS_1318","GCA_003359255.2_ASM335925v2_CDS_0009" "GCA_003359255.2_ASM335925v2_CDS_0008" "GCA_003359255.2_ASM335925v2_CDS_0007","GCA_003627485.2_ASM362748v2_CDS_0265","GCA_005280395.1_ASM528039v1_CDS_3318","GCA_005280355.1_ASM528035v1_CDS_3870"
"GCA_005280395.1_ASM528039v1_CDS_3350","persistent","","10","11","1.1","NA","NA","","","","200","653","591.91","GCA_000307975.2_ASM30797v2_CDS_0020","GCA_003012895.2_ASM301289v2_CDS_0868" "GCA_003012895.2_ASM301289v2_CDS_0869","GCA_000015425.1_ASM1542v1_CDS_3900","GCA_000189735.2_ASM18973v2_CDS_3937","GCA_002009115.1_ASM200911v1_CDS_1789","GCA_002762545.2_ASM276254v2_CDS_1377","GCA_003359255.2_ASM335925v2_CDS_0060","GCA_003627485.2_ASM362748v2_CDS_0297","GCA_005280395.1_ASM528039v1_CDS_3350","GCA_005280355.1_ASM528035v1_CDS_3813"
"GCA_005280395.1_ASM528039v1_CDS_3382","persistent","","10","10","1.0","NA","NA","","","","389","704","655.7","GCA_000307975.2_ASM30797v2_CDS_0052","GCA_003012895.2_ASM301289v2_CDS_0830","GCA_000015425.1_ASM1542v1_CDS_3868","GCA_000189735.2_ASM18973v2_CDS_3905","GCA_002009115.1_ASM200911v1_CDS_1821","GCA_002762545.2_ASM276254v2_CDS_1409","GCA_003359255.2_ASM335925v2_CDS_0111","GCA_003627485.2_ASM362748v2_CDS_0330","GCA_005280395.1_ASM528039v1_CDS_3382","GCA_005280355.1_ASM528035v1_CDS_3781"
"GCA_005280395.1_ASM528039v1_CDS_3414","persistent","","10","10","1.0","NA","NA","","","","1145","1196","1190.9","GCA_000307975.2_ASM30797v2_CDS_0083","GCA_003012895.2_ASM301289v2_CDS_0769","GCA_000015425.1_ASM1542v1_CDS_3830","GCA_000189735.2_ASM18973v2_CDS_3874","GCA_002009115.1_ASM200911v1_CDS_1853","GCA_002762545.2_ASM276254v2_CDS_1449","GCA_003359255.2_ASM335925v2_CDS_0146","GCA_003627485.2_ASM362748v2_CDS_0363","GCA_005280395.1_ASM528039v1_CDS_3414","GCA_005280355.1_ASM528035v1_CDS_3748"
"GCA_005280395.1_ASM528039v1_CDS_3574","persistent","","9","9","1.0","NA","NA","","","","389","395","390.33","GCA_000307975.2_ASM30797v2_CDS_0630","GCA_003012895.2_ASM301289v2_CDS_0602","GCA_000015425.1_ASM1542v1_CDS_3677","GCA_000189735.2_ASM18973v2_CDS_3740","GCA_002009115.1_ASM200911v1_CDS_1992","GCA_002762545.2_ASM276254v2_CDS_1594","","GCA_003627485.2_ASM362748v2_CDS_0519","GCA_005280395.1_ASM528039v1_CDS_3574","GCA_005280355.1_ASM528035v1_CDS_3611"
"GCA_005280395.1_ASM528039v1_CDS_3606","persistent","","10","12","1.2","NA","NA","","","","209","1508","1255.75","GCA_000307975.2_ASM30797v2_CDS_1867","GCA_003012895.2_ASM301289v2_CDS_0569","GCA_000015425.1_ASM1542v1_CDS_3642" "GCA_000015425.1_ASM1542v1_CDS_3643","GCA_000189735.2_ASM18973v2_CDS_3706","GCA_002009115.1_ASM200911v1_CDS_2025","GCA_002762545.2_ASM276254v2_CDS_1627","GCA_003359255.2_ASM335925v2_CDS_0398" "GCA_003359255.2_ASM335925v2_CDS_0399","GCA_003627485.2_ASM362748v2_CDS_0552","GCA_005280395.1_ASM528039v1_CDS_3606","GCA_005280355.1_ASM528035v1_CDS_3578"
"GCA_005280395.1_ASM528039v1_CDS_3638","persistent","","10","10","1.0","NA","NA","","","","383","464","455.9","GCA_000307975.2_ASM30797v2_CDS_1838","GCA_003012895.2_ASM301289v2_CDS_0537","GCA_000015425.1_ASM1542v1_CDS_3612","GCA_000189735.2_ASM18973v2_CDS_3677","GCA_002009115.1_ASM200911v1_CDS_2054","GCA_002762545.2_ASM276254v2_CDS_1659","GCA_003359255.2_ASM335925v2_CDS_0445","GCA_003627485.2_ASM362748v2_CDS_0585","GCA_005280395.1_ASM528039v1_CDS_3638","GCA_005280355.1_ASM528035v1_CDS_3541"
"GCA_005280395.1_ASM528039v1_CDS_3670","persistent","","10","13","1.3","NA","NA","","","","287","1229","944.92","GCA_000307975.2_ASM30797v2_CDS_1807","GCA_003012895.2_ASM301289v2_CDS_0502" "GCA_003012895.2_ASM301289v2_CDS_0501","GCA_000015425.1_ASM1542v1_CDS_3580","GCA_000189735.2_ASM18973v2_CDS_3646","GCA_002009115.1_ASM200911v1_CDS_2088","GCA_002762545.2_ASM276254v2_CDS_1691","GCA_003359255.2_ASM335925v2_CDS_0484" "GCA_003359255.2_ASM335925v2_CDS_0485" "GCA_003359255.2_ASM335925v2_CDS_0486","GCA_003627485.2_ASM362748v2_CDS_0618","GCA_005280395.1_ASM528039v1_CDS_3670","GCA_005280355.1_ASM528035v1_CDS_3510"
"GCA_005280395.1_ASM528039v1_CDS_3766","persistent","","10","10","1.0","NA","NA","","","","377","377","377.0","GCA_000307975.2_ASM30797v2_CDS_2054","GCA_003012895.2_ASM301289v2_CDS_0395","GCA_000015425.1_ASM1542v1_CDS_3484","GCA_000189735.2_ASM18973v2_CDS_3555","GCA_002009115.1_ASM200911v1_CDS_2183","GCA_002762545.2_ASM276254v2_CDS_1787","GCA_003359255.2_ASM335925v2_CDS_0611","GCA_003627485.2_ASM362748v2_CDS_0714","GCA_005280395.1_ASM528039v1_CDS_3766","GCA_005280355.1_ASM528035v1_CDS_3412"
