"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_009914415.1_ASM991441v1","GCF_009914435.1_ASM991443v1","GCF_009914475.1_ASM991447v1","GCA_010918035.1_ASM1091803v1","GCF_009914375.1_ASM991437v1","GCF_002953575.2_ASM295357v2","GCF_009734145.1_ASM973414v1","GCF_009914395.1_ASM991439v1","GCF_009296145.1_ASM929614v1","GCF_010917815.1_ASM1091781v1"
"GCF_009914375.1_ASM991437v1_CDS_0557","persistent","","10","10","1.0","NA","NA","","","","1487","1487","1487.0","GCF_009914415.1_ASM991441v1_CDS_0013","GCF_009914435.1_ASM991443v1_CDS_2709","GCF_009914475.1_ASM991447v1_CDS_2341","GCA_010918035.1_ASM1091803v1_CDS_2768","GCF_009914375.1_ASM991437v1_CDS_0557","GCF_002953575.2_ASM295357v2_CDS_2960","GCF_009734145.1_ASM973414v1_CDS_0024","GCF_009914395.1_ASM991439v1_CDS_2751","GCF_009296145.1_ASM929614v1_CDS_0031","GCF_010917815.1_ASM1091781v1_CDS_0022"
"GCF_009914375.1_ASM991437v1_CDS_0621","persistent","","10","10","1.0","NA","NA","","","","2846","2846","2846.0","GCF_009914415.1_ASM991441v1_CDS_0078","GCF_009914435.1_ASM991443v1_CDS_0023","GCF_009914475.1_ASM991447v1_CDS_2276","GCA_010918035.1_ASM1091803v1_CDS_2696","GCF_009914375.1_ASM991437v1_CDS_0621","GCF_002953575.2_ASM295357v2_CDS_0021","GCF_009734145.1_ASM973414v1_CDS_3081","GCF_009914395.1_ASM991439v1_CDS_0024","GCF_009296145.1_ASM929614v1_CDS_2891","GCF_010917815.1_ASM1091781v1_CDS_2913"
"GCF_009914375.1_ASM991437v1_CDS_0685","persistent","","9","9","1.0","NA","NA","","","","155","209","185.0","GCF_009914415.1_ASM991441v1_CDS_0138","GCF_009914435.1_ASM991443v1_CDS_0081","GCF_009914475.1_ASM991447v1_CDS_2216","","GCF_009914375.1_ASM991437v1_CDS_0685","GCF_002953575.2_ASM295357v2_CDS_0079","GCF_009734145.1_ASM973414v1_CDS_3021","GCF_009914395.1_ASM991439v1_CDS_0084","GCF_009296145.1_ASM929614v1_CDS_2829","GCF_010917815.1_ASM1091781v1_CDS_2848"
"GCF_009914375.1_ASM991437v1_CDS_0941","persistent","","10","10","1.0","NA","NA","","","","194","206","203.6","GCF_009914415.1_ASM991441v1_CDS_0348","GCF_009914435.1_ASM991443v1_CDS_0272","GCF_009914475.1_ASM991447v1_CDS_2005","GCA_010918035.1_ASM1091803v1_CDS_2417","GCF_009914375.1_ASM991437v1_CDS_0941","GCF_002953575.2_ASM295357v2_CDS_0306","GCF_009734145.1_ASM973414v1_CDS_2756","GCF_009914395.1_ASM991439v1_CDS_0272","GCF_009296145.1_ASM929614v1_CDS_2642","GCF_010917815.1_ASM1091781v1_CDS_2674"
"GCF_009914375.1_ASM991437v1_CDS_1006","persistent","","10","10","1.0","NA","NA","","","","872","872","872.0","GCF_009914415.1_ASM991441v1_CDS_0427","GCF_009914435.1_ASM991443v1_CDS_0348","GCF_009914475.1_ASM991447v1_CDS_1927","GCA_010918035.1_ASM1091803v1_CDS_2347","GCF_009914375.1_ASM991437v1_CDS_1006","GCF_002953575.2_ASM295357v2_CDS_0373","GCF_009734145.1_ASM973414v1_CDS_2687","GCF_009914395.1_ASM991439v1_CDS_0338","GCF_009296145.1_ASM929614v1_CDS_2571","GCF_010917815.1_ASM1091781v1_CDS_2599"
"GCF_009914375.1_ASM991437v1_CDS_1071","persistent","","10","10","1.0","NA","NA","","","","365","377","375.8","GCF_009914415.1_ASM991441v1_CDS_0488","GCF_009914435.1_ASM991443v1_CDS_0411","GCF_009914475.1_ASM991447v1_CDS_1866","GCA_010918035.1_ASM1091803v1_CDS_2283","GCF_009914375.1_ASM991437v1_CDS_1071","GCF_002953575.2_ASM295357v2_CDS_0441","GCF_009734145.1_ASM973414v1_CDS_2608","GCF_009914395.1_ASM991439v1_CDS_0402","GCF_009296145.1_ASM929614v1_CDS_2508","GCF_010917815.1_ASM1091781v1_CDS_2537"
"GCF_009914375.1_ASM991437v1_CDS_1167","persistent","","10","10","1.0","NA","NA","","","","1802","1802","1802.0","GCF_009914415.1_ASM991441v1_CDS_0599","GCF_009914435.1_ASM991443v1_CDS_0500","GCF_009914475.1_ASM991447v1_CDS_1754","GCA_010918035.1_ASM1091803v1_CDS_2153","GCF_009914375.1_ASM991437v1_CDS_1167","GCF_002953575.2_ASM295357v2_CDS_0615","GCF_009734145.1_ASM973414v1_CDS_2444","GCF_009914395.1_ASM991439v1_CDS_0500","GCF_009296145.1_ASM929614v1_CDS_2359","GCF_010917815.1_ASM1091781v1_CDS_2388"
"GCF_009914375.1_ASM991437v1_CDS_1199","persistent","","10","10","1.0","NA","NA","","","","353","353","353.0","GCF_009914415.1_ASM991441v1_CDS_0625","GCF_009914435.1_ASM991443v1_CDS_0525","GCF_009914475.1_ASM991447v1_CDS_1728","GCA_010918035.1_ASM1091803v1_CDS_2123","GCF_009914375.1_ASM991437v1_CDS_1199","GCF_002953575.2_ASM295357v2_CDS_0642","GCF_009734145.1_ASM973414v1_CDS_2416","GCF_009914395.1_ASM991439v1_CDS_0527","GCF_009296145.1_ASM929614v1_CDS_2331","GCF_010917815.1_ASM1091781v1_CDS_2361"
"GCF_009914375.1_ASM991437v1_CDS_1328","cloud","","1","1","1.0","NA","NA","","","","716","716","716.0","","","","","GCF_009914375.1_ASM991437v1_CDS_1328","","","","",""
"GCF_009914375.1_ASM991437v1_CDS_1552","persistent","","8","8","1.0","NA","NA","","","","1664","1664","1664.0","","GCF_009914435.1_ASM991443v1_CDS_0835","","GCA_010918035.1_ASM1091803v1_CDS_1808","GCF_009914375.1_ASM991437v1_CDS_1552","GCF_002953575.2_ASM295357v2_CDS_0901","GCF_009734145.1_ASM973414v1_CDS_2158","GCF_009914395.1_ASM991439v1_CDS_0886","GCF_009296145.1_ASM929614v1_CDS_2032","GCF_010917815.1_ASM1091781v1_CDS_2005"
"GCF_009914375.1_ASM991437v1_CDS_1616","persistent","","10","10","1.0","NA","NA","","","","386","386","386.0","GCF_009914415.1_ASM991441v1_CDS_1013","GCF_009914435.1_ASM991443v1_CDS_0911","GCF_009914475.1_ASM991447v1_CDS_1340","GCA_010918035.1_ASM1091803v1_CDS_1752","GCF_009914375.1_ASM991437v1_CDS_1616","GCF_002953575.2_ASM295357v2_CDS_0961","GCF_009734145.1_ASM973414v1_CDS_2089","GCF_009914395.1_ASM991439v1_CDS_0950","GCF_009296145.1_ASM929614v1_CDS_1964","GCF_010917815.1_ASM1091781v1_CDS_1945"
"GCF_009914375.1_ASM991437v1_CDS_1648","persistent","","10","10","1.0","NA","NA","","","","788","788","788.0","GCF_009914415.1_ASM991441v1_CDS_1043","GCF_009914435.1_ASM991443v1_CDS_0940","GCF_009914475.1_ASM991447v1_CDS_1310","GCA_010918035.1_ASM1091803v1_CDS_1720","GCF_009914375.1_ASM991437v1_CDS_1648","GCF_002953575.2_ASM295357v2_CDS_0992","GCF_009734145.1_ASM973414v1_CDS_2059","GCF_009914395.1_ASM991439v1_CDS_0980","GCF_009296145.1_ASM929614v1_CDS_1934","GCF_010917815.1_ASM1091781v1_CDS_1916"
"GCF_009914375.1_ASM991437v1_CDS_1680","persistent","","10","10","1.0","NA","NA","","","","2246","2246","2246.0","GCF_009914415.1_ASM991441v1_CDS_1079","GCF_009914435.1_ASM991443v1_CDS_0977","GCF_009914475.1_ASM991447v1_CDS_1275","GCA_010918035.1_ASM1091803v1_CDS_1686","GCF_009914375.1_ASM991437v1_CDS_1680","GCF_002953575.2_ASM295357v2_CDS_1024","GCF_009734145.1_ASM973414v1_CDS_2026","GCF_009914395.1_ASM991439v1_CDS_1013","GCF_009296145.1_ASM929614v1_CDS_1899","GCF_010917815.1_ASM1091781v1_CDS_1882"
"GCF_009914375.1_ASM991437v1_CDS_1776","persistent","","10","10","1.0","NA","NA","","","","902","902","902.0","GCF_009914415.1_ASM991441v1_CDS_1173","GCF_009914435.1_ASM991443v1_CDS_1079","GCF_009914475.1_ASM991447v1_CDS_1182","GCA_010918035.1_ASM1091803v1_CDS_1590","GCF_009914375.1_ASM991437v1_CDS_1776","GCF_002953575.2_ASM295357v2_CDS_1133","GCF_009734145.1_ASM973414v1_CDS_1924","GCF_009914395.1_ASM991439v1_CDS_1108","GCF_009296145.1_ASM929614v1_CDS_1792","GCF_010917815.1_ASM1091781v1_CDS_1781"
"GCF_009914375.1_ASM991437v1_CDS_1808","persistent","","10","10","1.0","NA","NA","","","","350","350","350.0","GCF_009914415.1_ASM991441v1_CDS_1205","GCF_009914435.1_ASM991443v1_CDS_1111","GCF_009914475.1_ASM991447v1_CDS_1150","GCA_010918035.1_ASM1091803v1_CDS_1559","GCF_009914375.1_ASM991437v1_CDS_1808","GCF_002953575.2_ASM295357v2_CDS_1165","GCF_009734145.1_ASM973414v1_CDS_1891","GCF_009914395.1_ASM991439v1_CDS_1141","GCF_009296145.1_ASM929614v1_CDS_1760","GCF_010917815.1_ASM1091781v1_CDS_1750"
"GCF_009914375.1_ASM991437v1_CDS_1872","persistent","","10","10","1.0","NA","NA","","","","1724","1724","1724.0","GCF_009914415.1_ASM991441v1_CDS_1266","GCF_009914435.1_ASM991443v1_CDS_1174","GCF_009914475.1_ASM991447v1_CDS_1089","GCA_010918035.1_ASM1091803v1_CDS_1491","GCF_009914375.1_ASM991437v1_CDS_1872","GCF_002953575.2_ASM295357v2_CDS_1229","GCF_009734145.1_ASM973414v1_CDS_1758","GCF_009914395.1_ASM991439v1_CDS_1205","GCF_009296145.1_ASM929614v1_CDS_1696","GCF_010917815.1_ASM1091781v1_CDS_1687"
"GCF_009914375.1_ASM991437v1_CDS_1904","persistent","","10","10","1.0","NA","NA","","","","1043","1043","1043.0","GCF_009914415.1_ASM991441v1_CDS_1295","GCF_009914435.1_ASM991443v1_CDS_1203","GCF_009914475.1_ASM991447v1_CDS_1060","GCA_010918035.1_ASM1091803v1_CDS_1462","GCF_009914375.1_ASM991437v1_CDS_1904","GCF_002953575.2_ASM295357v2_CDS_1260","GCF_009734145.1_ASM973414v1_CDS_1728","GCF_009914395.1_ASM991439v1_CDS_1236","GCF_009296145.1_ASM929614v1_CDS_1666","GCF_010917815.1_ASM1091781v1_CDS_1657"
"GCF_009914375.1_ASM991437v1_CDS_2000","persistent","","10","10","1.0","NA","NA","","","","1055","1055","1055.0","GCF_009914415.1_ASM991441v1_CDS_1393","GCF_009914435.1_ASM991443v1_CDS_1302","GCF_009914475.1_ASM991447v1_CDS_0962","GCA_010918035.1_ASM1091803v1_CDS_1363","GCF_009914375.1_ASM991437v1_CDS_2000","GCF_002953575.2_ASM295357v2_CDS_1358","GCF_009734145.1_ASM973414v1_CDS_1578","GCF_009914395.1_ASM991439v1_CDS_1332","GCF_009296145.1_ASM929614v1_CDS_1571","GCF_010917815.1_ASM1091781v1_CDS_1498"
"GCF_009914375.1_ASM991437v1_CDS_2160","persistent","","10","10","1.0","NA","NA","","","","650","650","650.0","GCF_009914415.1_ASM991441v1_CDS_1564","GCF_009914435.1_ASM991443v1_CDS_1475","GCF_009914475.1_ASM991447v1_CDS_0791","GCA_010918035.1_ASM1091803v1_CDS_1177","GCF_009914375.1_ASM991437v1_CDS_2160","GCF_002953575.2_ASM295357v2_CDS_1540","GCF_009734145.1_ASM973414v1_CDS_1405","GCF_009914395.1_ASM991439v1_CDS_1530","GCF_009296145.1_ASM929614v1_CDS_1339","GCF_010917815.1_ASM1091781v1_CDS_1322"
"GCF_009914375.1_ASM991437v1_CDS_2192","persistent","","10","10","1.0","NA","NA","","","","908","908","908.0","GCF_009914415.1_ASM991441v1_CDS_1596","GCF_009914435.1_ASM991443v1_CDS_1509","GCF_009914475.1_ASM991447v1_CDS_0758","GCA_010918035.1_ASM1091803v1_CDS_1144","GCF_009914375.1_ASM991437v1_CDS_2192","GCF_002953575.2_ASM295357v2_CDS_1574","GCF_009734145.1_ASM973414v1_CDS_1373","GCF_009914395.1_ASM991439v1_CDS_1563","GCF_009296145.1_ASM929614v1_CDS_1302","GCF_010917815.1_ASM1091781v1_CDS_1290"
"GCF_009914375.1_ASM991437v1_CDS_2224","persistent","","10","10","1.0","NA","NA","","","","944","944","944.0","GCF_009914415.1_ASM991441v1_CDS_1628","GCF_009914435.1_ASM991443v1_CDS_1541","GCF_009914475.1_ASM991447v1_CDS_0726","GCA_010918035.1_ASM1091803v1_CDS_1112","GCF_009914375.1_ASM991437v1_CDS_2224","GCF_002953575.2_ASM295357v2_CDS_1606","GCF_009734145.1_ASM973414v1_CDS_1341","GCF_009914395.1_ASM991439v1_CDS_1595","GCF_009296145.1_ASM929614v1_CDS_1270","GCF_010917815.1_ASM1091781v1_CDS_1258"
"GCF_009914375.1_ASM991437v1_CDS_2320","cloud","","1","1","1.0","NA","NA","","","","617","617","617.0","","","","","GCF_009914375.1_ASM991437v1_CDS_2320","","","","",""
"GCF_009914375.1_ASM991437v1_CDS_2352","persistent","","10","10","1.0","NA","NA","","","","836","836","836.0","GCF_009914415.1_ASM991441v1_CDS_1762","GCF_009914435.1_ASM991443v1_CDS_1710","GCF_009914475.1_ASM991447v1_CDS_0593","GCA_010918035.1_ASM1091803v1_CDS_0938","GCF_009914375.1_ASM991437v1_CDS_2352","GCF_002953575.2_ASM295357v2_CDS_1807","GCF_009734145.1_ASM973414v1_CDS_1217","GCF_009914395.1_ASM991439v1_CDS_1707","GCF_009296145.1_ASM929614v1_CDS_1189","GCF_010917815.1_ASM1091781v1_CDS_1110"
"GCF_009914375.1_ASM991437v1_CDS_2480","persistent","","10","10","1.0","NA","NA","","","","1133","1133","1133.0","GCF_009914415.1_ASM991441v1_CDS_1876","GCF_009914435.1_ASM991443v1_CDS_1822","GCF_009914475.1_ASM991447v1_CDS_0479","GCA_010918035.1_ASM1091803v1_CDS_0785","GCF_009914375.1_ASM991437v1_CDS_2480","GCF_002953575.2_ASM295357v2_CDS_1922","GCF_009734145.1_ASM973414v1_CDS_1098","GCF_009914395.1_ASM991439v1_CDS_1834","GCF_009296145.1_ASM929614v1_CDS_0998","GCF_010917815.1_ASM1091781v1_CDS_0970"
"GCF_009914375.1_ASM991437v1_CDS_2608","persistent","","10","10","1.0","NA","NA","","","","548","554","552.8","GCF_009914415.1_ASM991441v1_CDS_2000","GCF_009914435.1_ASM991443v1_CDS_1944","GCF_009914475.1_ASM991447v1_CDS_0355","GCA_010918035.1_ASM1091803v1_CDS_0660","GCF_009914375.1_ASM991437v1_CDS_2608","GCF_002953575.2_ASM295357v2_CDS_2055","GCF_009734145.1_ASM973414v1_CDS_0969","GCF_009914395.1_ASM991439v1_CDS_1959","GCF_009296145.1_ASM929614v1_CDS_0861","GCF_010917815.1_ASM1091781v1_CDS_0833"
"GCF_009914375.1_ASM991437v1_CDS_1553","persistent","","8","8","1.0","NA","NA","","","","749","749","749.0","","GCF_009914435.1_ASM991443v1_CDS_0836","","GCA_010918035.1_ASM1091803v1_CDS_1807","GCF_009914375.1_ASM991437v1_CDS_1553","GCF_002953575.2_ASM295357v2_CDS_0902","GCF_009734145.1_ASM973414v1_CDS_2157","GCF_009914395.1_ASM991439v1_CDS_0887","GCF_009296145.1_ASM929614v1_CDS_2031","GCF_010917815.1_ASM1091781v1_CDS_2004"
"GCF_009914375.1_ASM991437v1_CDS_1681","persistent","","10","10","1.0","NA","NA","","","","365","365","365.0","GCF_009914415.1_ASM991441v1_CDS_1080","GCF_009914435.1_ASM991443v1_CDS_0978","GCF_009914475.1_ASM991447v1_CDS_1274","GCA_010918035.1_ASM1091803v1_CDS_1685","GCF_009914375.1_ASM991437v1_CDS_1681","GCF_002953575.2_ASM295357v2_CDS_1025","GCF_009734145.1_ASM973414v1_CDS_2025","GCF_009914395.1_ASM991439v1_CDS_1014","GCF_009296145.1_ASM929614v1_CDS_1898","GCF_010917815.1_ASM1091781v1_CDS_1881"
"GCF_009914375.1_ASM991437v1_CDS_1713","persistent","","10","10","1.0","NA","NA","","","","266","266","266.0","GCF_009914415.1_ASM991441v1_CDS_1112","GCF_009914435.1_ASM991443v1_CDS_1010","GCF_009914475.1_ASM991447v1_CDS_1242","GCA_010918035.1_ASM1091803v1_CDS_1654","GCF_009914375.1_ASM991437v1_CDS_1713","GCF_002953575.2_ASM295357v2_CDS_1066","GCF_009734145.1_ASM973414v1_CDS_1994","GCF_009914395.1_ASM991439v1_CDS_1046","GCF_009296145.1_ASM929614v1_CDS_1863","GCF_010917815.1_ASM1091781v1_CDS_1849"
"GCF_009914375.1_ASM991437v1_CDS_1777","persistent","","10","10","1.0","NA","NA","","","","887","887","887.0","GCF_009914415.1_ASM991441v1_CDS_1174","GCF_009914435.1_ASM991443v1_CDS_1080","GCF_009914475.1_ASM991447v1_CDS_1181","GCA_010918035.1_ASM1091803v1_CDS_1589","GCF_009914375.1_ASM991437v1_CDS_1777","GCF_002953575.2_ASM295357v2_CDS_1134","GCF_009734145.1_ASM973414v1_CDS_1923","GCF_009914395.1_ASM991439v1_CDS_1109","GCF_009296145.1_ASM929614v1_CDS_1791","GCF_010917815.1_ASM1091781v1_CDS_1780"
"GCF_009914375.1_ASM991437v1_CDS_1809","persistent","","10","10","1.0","NA","NA","","","","1019","1019","1019.0","GCF_009914415.1_ASM991441v1_CDS_1206","GCF_009914435.1_ASM991443v1_CDS_1112","GCF_009914475.1_ASM991447v1_CDS_1149","GCA_010918035.1_ASM1091803v1_CDS_1558","GCF_009914375.1_ASM991437v1_CDS_1809","GCF_002953575.2_ASM295357v2_CDS_1166","GCF_009734145.1_ASM973414v1_CDS_1890","GCF_009914395.1_ASM991439v1_CDS_1142","GCF_009296145.1_ASM929614v1_CDS_1759","GCF_010917815.1_ASM1091781v1_CDS_1749"
"GCF_009914375.1_ASM991437v1_CDS_1841","persistent","","10","10","1.0","NA","NA","","","","653","653","653.0","GCF_009914415.1_ASM991441v1_CDS_1235","GCF_009914435.1_ASM991443v1_CDS_1142","GCF_009914475.1_ASM991447v1_CDS_1120","GCA_010918035.1_ASM1091803v1_CDS_1522","GCF_009914375.1_ASM991437v1_CDS_1841","GCF_002953575.2_ASM295357v2_CDS_1198","GCF_009734145.1_ASM973414v1_CDS_1789","GCF_009914395.1_ASM991439v1_CDS_1174","GCF_009296145.1_ASM929614v1_CDS_1727","GCF_010917815.1_ASM1091781v1_CDS_1719"
"GCF_009914375.1_ASM991437v1_CDS_1873","persistent","","10","10","1.0","NA","NA","","","","530","530","530.0","GCF_009914415.1_ASM991441v1_CDS_1267","GCF_009914435.1_ASM991443v1_CDS_1175","GCF_009914475.1_ASM991447v1_CDS_1088","GCA_010918035.1_ASM1091803v1_CDS_1490","GCF_009914375.1_ASM991437v1_CDS_1873","GCF_002953575.2_ASM295357v2_CDS_1230","GCF_009734145.1_ASM973414v1_CDS_1757","GCF_009914395.1_ASM991439v1_CDS_1206","GCF_009296145.1_ASM929614v1_CDS_1695","GCF_010917815.1_ASM1091781v1_CDS_1686"
"GCF_009914375.1_ASM991437v1_CDS_1937","persistent","","10","10","1.0","NA","NA","","","","1163","1163","1163.0","GCF_009914415.1_ASM991441v1_CDS_1328","GCF_009914435.1_ASM991443v1_CDS_1238","GCF_009914475.1_ASM991447v1_CDS_1027","GCA_010918035.1_ASM1091803v1_CDS_1429","GCF_009914375.1_ASM991437v1_CDS_1937","GCF_002953575.2_ASM295357v2_CDS_1291","GCF_009734145.1_ASM973414v1_CDS_1697","GCF_009914395.1_ASM991439v1_CDS_1270","GCF_009296145.1_ASM929614v1_CDS_1633","GCF_010917815.1_ASM1091781v1_CDS_1624"
