"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_003359435.2_ASM335943v2","GCF_004295305.1_ASM429530v1","GCF_002951295.1_ASM295129v1","GCF_003143895.1_ASM314389v1","GCF_000814165.3_ASM81416v3","GCF_002082665.1_ASM208266v1","GCA_003359375.2_ASM335937v2","GCA_003359395.2_ASM335939v2","GCA_003359355.2_ASM335935v2","GCA_003359505.2_ASM335950v2"
"GCF_002951295.1_ASM295129v1_CDS_2753","persistent","","10","11","1.1","NA","NA","","","","110","431","366.09","GCA_003359435.2_ASM335943v2_CDS_3889" "GCA_003359435.2_ASM335943v2_CDS_3888","GCF_004295305.1_ASM429530v1_CDS_3014","GCF_002951295.1_ASM295129v1_CDS_2753","GCF_003143895.1_ASM314389v1_CDS_3106","GCF_000814165.3_ASM81416v3_CDS_2951","GCF_002082665.1_ASM208266v1_CDS_3327","GCA_003359375.2_ASM335937v2_CDS_4668","GCA_003359395.2_ASM335939v2_CDS_4781","GCA_003359355.2_ASM335935v2_CDS_5122","GCA_003359505.2_ASM335950v2_CDS_4709"
"GCF_002951295.1_ASM295129v1_CDS_2785","persistent","","10","10","1.0","NA","NA","","","","809","809","809.0","GCA_003359435.2_ASM335943v2_CDS_3933","GCF_004295305.1_ASM429530v1_CDS_3046","GCF_002951295.1_ASM295129v1_CDS_2785","GCF_003143895.1_ASM314389v1_CDS_3138","GCF_000814165.3_ASM81416v3_CDS_2983","GCF_002082665.1_ASM208266v1_CDS_3359","GCA_003359375.2_ASM335937v2_CDS_4721","GCA_003359395.2_ASM335939v2_CDS_4834","GCA_003359355.2_ASM335935v2_CDS_5177","GCA_003359505.2_ASM335950v2_CDS_4760"
"GCF_002951295.1_ASM295129v1_CDS_2817","persistent","","8","8","1.0","NA","NA","","","","404","434","430.25","GCA_003359435.2_ASM335943v2_CDS_3978","GCF_004295305.1_ASM429530v1_CDS_3080","GCF_002951295.1_ASM295129v1_CDS_2817","GCF_003143895.1_ASM314389v1_CDS_3170","","GCF_002082665.1_ASM208266v1_CDS_3391","","GCA_003359395.2_ASM335939v2_CDS_4874","GCA_003359355.2_ASM335935v2_CDS_5226","GCA_003359505.2_ASM335950v2_CDS_4810"
"GCF_002951295.1_ASM295129v1_CDS_2881","persistent","","10","14","1.4","NA","NA","","","","173","563","378.07","GCA_003359435.2_ASM335943v2_CDS_4026","GCF_004295305.1_ASM429530v1_CDS_3144","GCF_002951295.1_ASM295129v1_CDS_2881","GCF_003143895.1_ASM314389v1_CDS_3247","GCF_000814165.3_ASM81416v3_CDS_3039","GCF_002082665.1_ASM208266v1_CDS_3467","GCA_003359375.2_ASM335937v2_CDS_4768" "GCA_003359375.2_ASM335937v2_CDS_4769","GCA_003359395.2_ASM335939v2_CDS_4938","GCA_003359355.2_ASM335935v2_CDS_5297" "GCA_003359355.2_ASM335935v2_CDS_5298" "GCA_003359355.2_ASM335935v2_CDS_5296","GCA_003359505.2_ASM335950v2_CDS_4943" "GCA_003359505.2_ASM335950v2_CDS_4944"
"GCF_002951295.1_ASM295129v1_CDS_2913","persistent","","10","17","1.7","NA","NA","","","","194","1301","726.41","GCA_003359435.2_ASM335943v2_CDS_4066","GCF_004295305.1_ASM429530v1_CDS_3176","GCF_002951295.1_ASM295129v1_CDS_2913","GCF_003143895.1_ASM314389v1_CDS_3279","GCF_000814165.3_ASM81416v3_CDS_3071","GCF_002082665.1_ASM208266v1_CDS_3502","GCA_003359375.2_ASM335937v2_CDS_4844" "GCA_003359375.2_ASM335937v2_CDS_4846" "GCA_003359375.2_ASM335937v2_CDS_4845","GCA_003359395.2_ASM335939v2_CDS_4992" "GCA_003359395.2_ASM335939v2_CDS_4991" "GCA_003359395.2_ASM335939v2_CDS_4993","GCA_003359355.2_ASM335935v2_CDS_5354" "GCA_003359355.2_ASM335935v2_CDS_5355" "GCA_003359355.2_ASM335935v2_CDS_5356","GCA_003359505.2_ASM335950v2_CDS_4988" "GCA_003359505.2_ASM335950v2_CDS_4987"
"GCF_002951295.1_ASM295129v1_CDS_2945","persistent","","10","19","1.9","NA","NA","","","","329","2192","1141.21","GCA_003359435.2_ASM335943v2_CDS_4109" "GCA_003359435.2_ASM335943v2_CDS_4110","GCF_004295305.1_ASM429530v1_CDS_3207","GCF_002951295.1_ASM295129v1_CDS_2945","GCF_003143895.1_ASM314389v1_CDS_3311","GCF_000814165.3_ASM81416v3_CDS_3102","GCF_002082665.1_ASM208266v1_CDS_3533","GCA_003359375.2_ASM335937v2_CDS_4900" "GCA_003359375.2_ASM335937v2_CDS_4902" "GCA_003359375.2_ASM335937v2_CDS_4901","GCA_003359395.2_ASM335939v2_CDS_5055" "GCA_003359395.2_ASM335939v2_CDS_5056","GCA_003359355.2_ASM335935v2_CDS_5414" "GCA_003359355.2_ASM335935v2_CDS_5416" "GCA_003359355.2_ASM335935v2_CDS_5415" "GCA_003359355.2_ASM335935v2_CDS_5417","GCA_003359505.2_ASM335950v2_CDS_5034" "GCA_003359505.2_ASM335950v2_CDS_5036" "GCA_003359505.2_ASM335950v2_CDS_5035"
"GCF_002951295.1_ASM295129v1_CDS_2977","persistent","","10","15","1.5","NA","NA","","","","224","1910","1258.4","GCA_003359435.2_ASM335943v2_CDS_4148","GCF_004295305.1_ASM429530v1_CDS_3240","GCF_002951295.1_ASM295129v1_CDS_2977","GCF_003143895.1_ASM314389v1_CDS_3343","GCF_000814165.3_ASM81416v3_CDS_3133","GCF_002082665.1_ASM208266v1_CDS_3565","GCA_003359375.2_ASM335937v2_CDS_4943" "GCA_003359375.2_ASM335937v2_CDS_4941" "GCA_003359375.2_ASM335937v2_CDS_4942","GCA_003359395.2_ASM335939v2_CDS_5097","GCA_003359355.2_ASM335935v2_CDS_5459" "GCA_003359355.2_ASM335935v2_CDS_5460" "GCA_003359355.2_ASM335935v2_CDS_5461","GCA_003359505.2_ASM335950v2_CDS_5070" "GCA_003359505.2_ASM335950v2_CDS_5071"
"GCF_002951295.1_ASM295129v1_CDS_3041","persistent","","10","10","1.0","NA","NA","","","","254","338","319.4","GCA_003359435.2_ASM335943v2_CDS_4237","GCF_004295305.1_ASM429530v1_CDS_3304","GCF_002951295.1_ASM295129v1_CDS_3041","GCF_003143895.1_ASM314389v1_CDS_3404","GCF_000814165.3_ASM81416v3_CDS_3195","GCF_002082665.1_ASM208266v1_CDS_3629","GCA_003359375.2_ASM335937v2_CDS_5044","GCA_003359395.2_ASM335939v2_CDS_5198","GCA_003359355.2_ASM335935v2_CDS_5561","GCA_003359505.2_ASM335950v2_CDS_5158"
"GCF_002951295.1_ASM295129v1_CDS_3073","persistent","","10","11","1.1","NA","NA","","","","182","527","416.0","GCA_003359435.2_ASM335943v2_CDS_4285","GCF_004295305.1_ASM429530v1_CDS_3338","GCF_002951295.1_ASM295129v1_CDS_3073","GCF_003143895.1_ASM314389v1_CDS_3437","GCF_000814165.3_ASM81416v3_CDS_3229","GCF_002082665.1_ASM208266v1_CDS_3662","GCA_003359375.2_ASM335937v2_CDS_5105","GCA_003359395.2_ASM335939v2_CDS_5255" "GCA_003359395.2_ASM335939v2_CDS_5256","GCA_003359355.2_ASM335935v2_CDS_5621","GCA_003359505.2_ASM335950v2_CDS_5216"
"GCF_002951295.1_ASM295129v1_CDS_3105","persistent","","10","17","1.7","NA","NA","","","","182","2153","1245.06","GCA_003359435.2_ASM335943v2_CDS_4324" "GCA_003359435.2_ASM335943v2_CDS_4323","GCF_004295305.1_ASM429530v1_CDS_3369","GCF_002951295.1_ASM295129v1_CDS_3105","GCF_003143895.1_ASM314389v1_CDS_3471","GCF_000814165.3_ASM81416v3_CDS_3261","GCF_002082665.1_ASM208266v1_CDS_3694","GCA_003359375.2_ASM335937v2_CDS_5160" "GCA_003359375.2_ASM335937v2_CDS_5159","GCA_003359395.2_ASM335939v2_CDS_5304" "GCA_003359395.2_ASM335939v2_CDS_5303" "GCA_003359395.2_ASM335939v2_CDS_5305","GCA_003359355.2_ASM335935v2_CDS_5674" "GCA_003359355.2_ASM335935v2_CDS_5675","GCA_003359505.2_ASM335950v2_CDS_5259" "GCA_003359505.2_ASM335950v2_CDS_5261" "GCA_003359505.2_ASM335950v2_CDS_5260"
"GCF_002951295.1_ASM295129v1_CDS_3137","persistent","","8","8","1.0","NA","NA","","","","326","326","326.0","GCA_003359435.2_ASM335943v2_CDS_4359","GCF_004295305.1_ASM429530v1_CDS_3403","GCF_002951295.1_ASM295129v1_CDS_3137","GCF_003143895.1_ASM314389v1_CDS_3503","GCF_000814165.3_ASM81416v3_CDS_3293","GCF_002082665.1_ASM208266v1_CDS_3727","GCA_003359375.2_ASM335937v2_CDS_5210","","GCA_003359355.2_ASM335935v2_CDS_5737",""
"GCF_002951295.1_ASM295129v1_CDS_3169","persistent","","10","16","1.6","NA","NA","","","","113","1421","855.88","GCA_003359435.2_ASM335943v2_CDS_4405" "GCA_003359435.2_ASM335943v2_CDS_4404","GCF_004295305.1_ASM429530v1_CDS_3436","GCF_002951295.1_ASM295129v1_CDS_3169","GCF_003143895.1_ASM314389v1_CDS_3538","GCF_000814165.3_ASM81416v3_CDS_3325","GCF_002082665.1_ASM208266v1_CDS_3759","GCA_003359375.2_ASM335937v2_CDS_5258" "GCA_003359375.2_ASM335937v2_CDS_5260" "GCA_003359375.2_ASM335937v2_CDS_5261","GCA_003359395.2_ASM335939v2_CDS_5406" "GCA_003359395.2_ASM335939v2_CDS_5407","GCA_003359355.2_ASM335935v2_CDS_5785" "GCA_003359355.2_ASM335935v2_CDS_5786","GCA_003359505.2_ASM335950v2_CDS_5350" "GCA_003359505.2_ASM335950v2_CDS_5351"
"GCF_002951295.1_ASM295129v1_CDS_3201","persistent","","10","13","1.3","NA","NA","","","","251","1391","955.54","GCA_003359435.2_ASM335943v2_CDS_4465" "GCA_003359435.2_ASM335943v2_CDS_4466","GCF_004295305.1_ASM429530v1_CDS_3468","GCF_002951295.1_ASM295129v1_CDS_3201","GCF_003143895.1_ASM314389v1_CDS_3581","GCF_000814165.3_ASM81416v3_CDS_3357","GCF_002082665.1_ASM208266v1_CDS_3809","GCA_003359375.2_ASM335937v2_CDS_5366" "GCA_003359375.2_ASM335937v2_CDS_5367","GCA_003359395.2_ASM335939v2_CDS_5452","GCA_003359355.2_ASM335935v2_CDS_5890","GCA_003359505.2_ASM335950v2_CDS_5444" "GCA_003359505.2_ASM335950v2_CDS_5446"
"GCF_002951295.1_ASM295129v1_CDS_3297","persistent","","10","10","1.0","NA","NA","","","","596","701","689.3","GCA_003359435.2_ASM335943v2_CDS_4596","GCF_004295305.1_ASM429530v1_CDS_3563","GCF_002951295.1_ASM295129v1_CDS_3297","GCF_003143895.1_ASM314389v1_CDS_3676","GCF_000814165.3_ASM81416v3_CDS_3458","GCF_002082665.1_ASM208266v1_CDS_0021","GCA_003359375.2_ASM335937v2_CDS_5501","GCA_003359395.2_ASM335939v2_CDS_5609","GCA_003359355.2_ASM335935v2_CDS_6055","GCA_003359505.2_ASM335950v2_CDS_5574"
"GCF_002951295.1_ASM295129v1_CDS_3361","persistent","","9","10","1.11","NA","NA","","","","227","530","457.1","GCA_003359435.2_ASM335943v2_CDS_4684","GCF_004295305.1_ASM429530v1_CDS_3634","GCF_002951295.1_ASM295129v1_CDS_3361","GCF_003143895.1_ASM314389v1_CDS_3741","GCF_000814165.3_ASM81416v3_CDS_3530","GCF_002082665.1_ASM208266v1_CDS_0086","","GCA_003359395.2_ASM335939v2_CDS_5712","GCA_003359355.2_ASM335935v2_CDS_6161","GCA_003359505.2_ASM335950v2_CDS_5667" "GCA_003359505.2_ASM335950v2_CDS_5668"
"GCF_002951295.1_ASM295129v1_CDS_3425","persistent","","10","20","2.0","NA","NA","","","","200","2684","1337.9","GCA_003359435.2_ASM335943v2_CDS_0034" "GCA_003359435.2_ASM335943v2_CDS_0035","GCF_004295305.1_ASM429530v1_CDS_0026","GCF_002951295.1_ASM295129v1_CDS_3425","GCF_003143895.1_ASM314389v1_CDS_0026","GCF_000814165.3_ASM81416v3_CDS_0026","GCF_002082665.1_ASM208266v1_CDS_0149","GCA_003359375.2_ASM335937v2_CDS_0043" "GCA_003359375.2_ASM335937v2_CDS_0042" "GCA_003359375.2_ASM335937v2_CDS_0041","GCA_003359395.2_ASM335939v2_CDS_0046" "GCA_003359395.2_ASM335939v2_CDS_0045" "GCA_003359395.2_ASM335939v2_CDS_0044" "GCA_003359395.2_ASM335939v2_CDS_0043","GCA_003359355.2_ASM335935v2_CDS_0049" "GCA_003359355.2_ASM335935v2_CDS_0050" "GCA_003359355.2_ASM335935v2_CDS_0048" "GCA_003359355.2_ASM335935v2_CDS_0051","GCA_003359505.2_ASM335950v2_CDS_0037" "GCA_003359505.2_ASM335950v2_CDS_0036"
"GCF_002951295.1_ASM295129v1_CDS_3457","persistent","","10","11","1.1","NA","NA","","","","488","1343","1175.0","GCA_003359435.2_ASM335943v2_CDS_0080","GCF_004295305.1_ASM429530v1_CDS_0058","GCF_002951295.1_ASM295129v1_CDS_3457","GCF_003143895.1_ASM314389v1_CDS_0058","GCF_000814165.3_ASM81416v3_CDS_0058","GCF_002082665.1_ASM208266v1_CDS_0181","GCA_003359375.2_ASM335937v2_CDS_0098" "GCA_003359375.2_ASM335937v2_CDS_0099","GCA_003359395.2_ASM335939v2_CDS_0098","GCA_003359355.2_ASM335935v2_CDS_0100","GCA_003359505.2_ASM335950v2_CDS_0080"
"GCF_002951295.1_ASM295129v1_CDS_3489","persistent","","10","11","1.1","NA","NA","","","","161","548","442.73","GCA_003359435.2_ASM335943v2_CDS_0145","GCF_004295305.1_ASM429530v1_CDS_0099","GCF_002951295.1_ASM295129v1_CDS_3489","GCF_003143895.1_ASM314389v1_CDS_0090","GCF_000814165.3_ASM81416v3_CDS_0091","GCF_002082665.1_ASM208266v1_CDS_0213","GCA_003359375.2_ASM335937v2_CDS_0176","GCA_003359395.2_ASM335939v2_CDS_0184" "GCA_003359395.2_ASM335939v2_CDS_0183","GCA_003359355.2_ASM335935v2_CDS_0193","GCA_003359505.2_ASM335950v2_CDS_0122"
"GCF_002951295.1_ASM295129v1_CDS_3585","persistent","","10","10","1.0","NA","NA","","","","836","977","948.8","GCA_003359435.2_ASM335943v2_CDS_0272","GCF_004295305.1_ASM429530v1_CDS_0194","GCF_002951295.1_ASM295129v1_CDS_3585","GCF_003143895.1_ASM314389v1_CDS_0185","GCF_000814165.3_ASM81416v3_CDS_0186","GCF_002082665.1_ASM208266v1_CDS_0307","GCA_003359375.2_ASM335937v2_CDS_0330","GCA_003359395.2_ASM335939v2_CDS_0329","GCA_003359355.2_ASM335935v2_CDS_0361","GCA_003359505.2_ASM335950v2_CDS_0268"
"GCF_002951295.1_ASM295129v1_CDS_3617","persistent","","9","9","1.0","NA","NA","","","","230","359","326.0","","GCF_004295305.1_ASM429530v1_CDS_0246","GCF_002951295.1_ASM295129v1_CDS_3617","GCF_003143895.1_ASM314389v1_CDS_0218","GCF_000814165.3_ASM81416v3_CDS_0242","GCF_002082665.1_ASM208266v1_CDS_0351","GCA_003359375.2_ASM335937v2_CDS_0373","GCA_003359395.2_ASM335939v2_CDS_0394","GCA_003359355.2_ASM335935v2_CDS_0423","GCA_003359505.2_ASM335950v2_CDS_0326"
"GCF_002951295.1_ASM295129v1_CDS_3681","persistent","","10","13","1.3","NA","NA","","","","422","2165","1648.77","GCA_003359435.2_ASM335943v2_CDS_0454" "GCA_003359435.2_ASM335943v2_CDS_0453","GCF_004295305.1_ASM429530v1_CDS_0328","GCF_002951295.1_ASM295129v1_CDS_3681","GCF_003143895.1_ASM314389v1_CDS_0287","GCF_000814165.3_ASM81416v3_CDS_0318","GCF_002082665.1_ASM208266v1_CDS_0417","GCA_003359375.2_ASM335937v2_CDS_0515" "GCA_003359375.2_ASM335937v2_CDS_0516","GCA_003359395.2_ASM335939v2_CDS_0542" "GCA_003359395.2_ASM335939v2_CDS_0541","GCA_003359355.2_ASM335935v2_CDS_0567","GCA_003359505.2_ASM335950v2_CDS_0424"
"GCF_002951295.1_ASM295129v1_CDS_3713","persistent","","10","10","1.0","NA","NA","","","","983","1118","1037.3","GCA_003359435.2_ASM335943v2_CDS_0497","GCF_004295305.1_ASM429530v1_CDS_0361","GCF_002951295.1_ASM295129v1_CDS_3713","GCF_003143895.1_ASM314389v1_CDS_0319","GCF_000814165.3_ASM81416v3_CDS_0351","GCF_002082665.1_ASM208266v1_CDS_0449","GCA_003359375.2_ASM335937v2_CDS_0568","GCA_003359395.2_ASM335939v2_CDS_0584","GCA_003359355.2_ASM335935v2_CDS_0621","GCA_003359505.2_ASM335950v2_CDS_0474"
"GCF_003143895.1_ASM314389v1_CDS_0213","persistent","","10","13","1.3","NA","NA","","","","431","902","662.69","GCA_003359435.2_ASM335943v2_CDS_0331" "GCA_003359435.2_ASM335943v2_CDS_0332","GCF_004295305.1_ASM429530v1_CDS_0239","GCF_002951295.1_ASM295129v1_CDS_3612","GCF_003143895.1_ASM314389v1_CDS_0213","GCF_000814165.3_ASM81416v3_CDS_0233","GCF_002082665.1_ASM208266v1_CDS_0343","GCA_003359375.2_ASM335937v2_CDS_0364","GCA_003359395.2_ASM335939v2_CDS_0385" "GCA_003359395.2_ASM335939v2_CDS_0384","GCA_003359355.2_ASM335935v2_CDS_0412","GCA_003359505.2_ASM335950v2_CDS_0317" "GCA_003359505.2_ASM335950v2_CDS_0316"
"GCF_003143895.1_ASM314389v1_CDS_0277","persistent","","10","18","1.8","NA","NA","","","","200","1499","821.0","GCA_003359435.2_ASM335943v2_CDS_0438" "GCA_003359435.2_ASM335943v2_CDS_0439","GCF_004295305.1_ASM429530v1_CDS_0318","GCF_002951295.1_ASM295129v1_CDS_3671","GCF_003143895.1_ASM314389v1_CDS_0277","GCF_000814165.3_ASM81416v3_CDS_0308","GCF_002082665.1_ASM208266v1_CDS_0407","GCA_003359375.2_ASM335937v2_CDS_0500" "GCA_003359375.2_ASM335937v2_CDS_0499" "GCA_003359375.2_ASM335937v2_CDS_0498" "GCA_003359375.2_ASM335937v2_CDS_0501","GCA_003359395.2_ASM335939v2_CDS_0526" "GCA_003359395.2_ASM335939v2_CDS_0525","GCA_003359355.2_ASM335935v2_CDS_0552" "GCA_003359355.2_ASM335935v2_CDS_0553" "GCA_003359355.2_ASM335935v2_CDS_0551","GCA_003359505.2_ASM335950v2_CDS_0409" "GCA_003359505.2_ASM335950v2_CDS_0408"
"GCF_003143895.1_ASM314389v1_CDS_0341","persistent","","10","16","1.6","NA","NA","","","","218","1277","800.38","GCA_003359435.2_ASM335943v2_CDS_0522","GCF_004295305.1_ASM429530v1_CDS_0383","GCF_002951295.1_ASM295129v1_CDS_0011","GCF_003143895.1_ASM314389v1_CDS_0341","GCF_000814165.3_ASM81416v3_CDS_0373","GCF_002082665.1_ASM208266v1_CDS_0471","GCA_003359375.2_ASM335937v2_CDS_0606" "GCA_003359375.2_ASM335937v2_CDS_0605" "GCA_003359375.2_ASM335937v2_CDS_0607","GCA_003359395.2_ASM335939v2_CDS_0617" "GCA_003359395.2_ASM335939v2_CDS_0616" "GCA_003359395.2_ASM335939v2_CDS_0618","GCA_003359355.2_ASM335935v2_CDS_0655" "GCA_003359355.2_ASM335935v2_CDS_0654" "GCA_003359355.2_ASM335935v2_CDS_0656","GCA_003359505.2_ASM335950v2_CDS_0504"
"GCF_003143895.1_ASM314389v1_CDS_0469","persistent","","10","10","1.0","NA","NA","","","","260","599","488.3","GCA_003359435.2_ASM335943v2_CDS_0669","GCF_004295305.1_ASM429530v1_CDS_0509","GCF_002951295.1_ASM295129v1_CDS_0135","GCF_003143895.1_ASM314389v1_CDS_0469","GCF_000814165.3_ASM81416v3_CDS_0496","GCF_002082665.1_ASM208266v1_CDS_0595","GCA_003359375.2_ASM335937v2_CDS_0792","GCA_003359395.2_ASM335939v2_CDS_0802","GCA_003359355.2_ASM335935v2_CDS_0858","GCA_003359505.2_ASM335950v2_CDS_0666"
"GCF_003143895.1_ASM314389v1_CDS_0501","persistent","","9","9","1.0","NA","NA","","","","425","503","494.33","","GCF_004295305.1_ASM429530v1_CDS_0537","GCF_002951295.1_ASM295129v1_CDS_0165","GCF_003143895.1_ASM314389v1_CDS_0501","GCF_000814165.3_ASM81416v3_CDS_0524","GCF_002082665.1_ASM208266v1_CDS_0623","GCA_003359375.2_ASM335937v2_CDS_0835","GCA_003359395.2_ASM335939v2_CDS_0846","GCA_003359355.2_ASM335935v2_CDS_0897","GCA_003359505.2_ASM335950v2_CDS_0703"
