"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000191145.1_ASM19114v1","GCA_003359215.2_ASM335921v2","GCA_003359295.2_ASM335929v2","GCF_001617545.1_ASM161754v1","GCF_001577285.1_ASM157728v1","GCA_003359275.2_ASM335927v2","GCA_003354845.1_ASM335484v1","GCA_003359315.2_ASM335931v2","GCA_003359305.2_ASM335930v2","GCA_003359225.2_ASM335922v2"
"GCA_003359305.2_ASM335930v2_CDS_3206","cloud","","1","1","1.0","NA","NA","","","","254","254","254.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_3206",""
"GCA_003359305.2_ASM335930v2_CDS_3366","persistent","","10","20","2.0","NA","NA","","","","131","2012","980.0","GCF_000191145.1_ASM19114v1_CDS_0975","GCA_003359215.2_ASM335921v2_CDS_2694" "GCA_003359215.2_ASM335921v2_CDS_2693","GCA_003359295.2_ASM335929v2_CDS_2473" "GCA_003359295.2_ASM335929v2_CDS_2472" "GCA_003359295.2_ASM335929v2_CDS_2471","GCF_001617545.1_ASM161754v1_CDS_2087","GCF_001577285.1_ASM157728v1_CDS_2667","GCA_003359275.2_ASM335927v2_CDS_2794" "GCA_003359275.2_ASM335927v2_CDS_2797" "GCA_003359275.2_ASM335927v2_CDS_2796" "GCA_003359275.2_ASM335927v2_CDS_2795","GCA_003354845.1_ASM335484v1_CDS_3028" "GCA_003354845.1_ASM335484v1_CDS_3027","GCA_003359315.2_ASM335931v2_CDS_2838" "GCA_003359315.2_ASM335931v2_CDS_2837" "GCA_003359315.2_ASM335931v2_CDS_2839","GCA_003359305.2_ASM335930v2_CDS_3366","GCA_003359225.2_ASM335922v2_CDS_2946" "GCA_003359225.2_ASM335922v2_CDS_2945"
"GCA_003359305.2_ASM335930v2_CDS_3942","cloud","","2","3","1.5","NA","NA","","","","146","395","241.0","","GCA_003359215.2_ASM335921v2_CDS_3166" "GCA_003359215.2_ASM335921v2_CDS_3165","","","","","","","GCA_003359305.2_ASM335930v2_CDS_3942",""
"GCA_003359305.2_ASM335930v2_CDS_3974","cloud","","1","1","1.0","NA","NA","","","","275","275","275.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_3974",""
"GCA_003359305.2_ASM335930v2_CDS_4166","cloud","","1","1","1.0","NA","NA","","","","197","197","197.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_4166",""
"GCA_003359305.2_ASM335930v2_CDS_4230","persistent","","10","10","1.0","NA","NA","","","","239","317","302.0","GCF_000191145.1_ASM19114v1_CDS_0430","GCA_003359215.2_ASM335921v2_CDS_3437","GCA_003359295.2_ASM335929v2_CDS_3039","GCF_001617545.1_ASM161754v1_CDS_1567","GCF_001577285.1_ASM157728v1_CDS_2177","GCA_003359275.2_ASM335927v2_CDS_3510","GCA_003354845.1_ASM335484v1_CDS_3784","GCA_003359315.2_ASM335931v2_CDS_3519","GCA_003359305.2_ASM335930v2_CDS_4230","GCA_003359225.2_ASM335922v2_CDS_3657"
"GCA_003359305.2_ASM335930v2_CDS_4294","cloud","","1","1","1.0","NA","NA","","","","236","236","236.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_4294",""
"GCA_003359305.2_ASM335930v2_CDS_4326","cloud","","3","3","1.0","NA","NA","","","","320","782","506.0","","","","GCF_001617545.1_ASM161754v1_CDS_3205","","","GCA_003354845.1_ASM335484v1_CDS_1615","","GCA_003359305.2_ASM335930v2_CDS_4326",""
"GCA_003359305.2_ASM335930v2_CDS_4422","shell","","4","4","1.0","NA","NA","","","","533","590","575.75","","","","","","GCA_003359275.2_ASM335927v2_CDS_3680","","GCA_003359315.2_ASM335931v2_CDS_3675","GCA_003359305.2_ASM335930v2_CDS_4422","GCA_003359225.2_ASM335922v2_CDS_3817"
"GCA_003359305.2_ASM335930v2_CDS_4646","cloud","","1","1","1.0","NA","NA","","","","254","254","254.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_4646",""
"GCA_003359305.2_ASM335930v2_CDS_4806","cloud","","1","1","1.0","NA","NA","","","","287","287","287.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_4806",""
"GCA_003359305.2_ASM335930v2_CDS_4902","persistent","","10","10","1.0","NA","NA","","","","254","491","446.6","GCF_000191145.1_ASM19114v1_CDS_0167","GCA_003359215.2_ASM335921v2_CDS_3948","GCA_003359295.2_ASM335929v2_CDS_3530","GCF_001617545.1_ASM161754v1_CDS_1268","GCF_001577285.1_ASM157728v1_CDS_1915","GCA_003359275.2_ASM335927v2_CDS_4007","GCA_003354845.1_ASM335484v1_CDS_4320","GCA_003359315.2_ASM335931v2_CDS_3992","GCA_003359305.2_ASM335930v2_CDS_4902","GCA_003359225.2_ASM335922v2_CDS_4145"
"GCA_003359305.2_ASM335930v2_CDS_4998","persistent","","5","5","1.0","NA","NA","","","","536","638","612.8","","GCA_003359215.2_ASM335921v2_CDS_4025","GCA_003359295.2_ASM335929v2_CDS_3610","","","","GCA_003354845.1_ASM335484v1_CDS_4410","GCA_003359315.2_ASM335931v2_CDS_4078","GCA_003359305.2_ASM335930v2_CDS_4998",""
"GCA_003359305.2_ASM335930v2_CDS_5159","cloud","","1","1","1.0","NA","NA","","","","701","701","701.0","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_5159",""
"GCA_003354845.1_ASM335484v1_CDS_1510","cloud","","1","1","1.0","NA","NA","","","","242","242","242.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_1510","","",""
"GCA_003354845.1_ASM335484v1_CDS_1542","cloud","","1","1","1.0","NA","NA","","","","824","824","824.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_1542","","",""
"GCA_003354845.1_ASM335484v1_CDS_1606","cloud","","1","1","1.0","NA","NA","","","","239","239","239.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_1606","","",""
"GCA_003354845.1_ASM335484v1_CDS_1670","cloud","","1","1","1.0","NA","NA","","","","191","191","191.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_1670","","",""
"GCA_003354845.1_ASM335484v1_CDS_1702","cloud","","1","1","1.0","NA","NA","","","","491","491","491.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_1702","","",""
"GCA_003354845.1_ASM335484v1_CDS_1958","cloud","","1","1","1.0","NA","NA","","","","143","143","143.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_1958","","",""
"GCA_003354845.1_ASM335484v1_CDS_2502","cloud","","1","1","1.0","NA","NA","","","","1346","1346","1346.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_2502","","",""
"GCA_003354845.1_ASM335484v1_CDS_2534","cloud","","1","1","1.0","NA","NA","","","","467","467","467.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_2534","","",""
"GCA_003354845.1_ASM335484v1_CDS_2566","cloud","","1","1","1.0","NA","NA","","","","209","209","209.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_2566","","",""
"GCA_003354845.1_ASM335484v1_CDS_2694","cloud","","1","1","1.0","NA","NA","","","","293","293","293.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_2694","","",""
"GCA_003354845.1_ASM335484v1_CDS_2726","cloud","","2","2","1.0","NA","NA","","","","341","344","342.5","","","","","","","GCA_003354845.1_ASM335484v1_CDS_2726","","GCA_003359305.2_ASM335930v2_CDS_2973",""
"GCA_003354845.1_ASM335484v1_CDS_3558","cloud","","1","1","1.0","NA","NA","","","","305","305","305.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_3558","","",""
"GCA_003354845.1_ASM335484v1_CDS_3846","cloud","","4","4","1.0","NA","NA","","","","197","227","219.5","","GCA_003359215.2_ASM335921v2_CDS_3578","GCA_003359295.2_ASM335929v2_CDS_3166","","","","GCA_003354845.1_ASM335484v1_CDS_3846","","GCA_003359305.2_ASM335930v2_CDS_4398",""
"GCA_003354845.1_ASM335484v1_CDS_3910","cloud","","1","1","1.0","NA","NA","","","","1577","1577","1577.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_3910","","",""
"GCA_003354845.1_ASM335484v1_CDS_3974","cloud","","1","1","1.0","NA","NA","","","","167","167","167.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_3974","","",""
"GCA_003354845.1_ASM335484v1_CDS_4006","cloud","","1","1","1.0","NA","NA","","","","485","485","485.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_4006","","",""
"GCA_003354845.1_ASM335484v1_CDS_4070","cloud","","1","1","1.0","NA","NA","","","","293","293","293.0","","","","","","","GCA_003354845.1_ASM335484v1_CDS_4070","","",""
"GCA_003354845.1_ASM335484v1_CDS_4134","persistent","","5","5","1.0","NA","NA","","","","116","167","156.8","GCF_000191145.1_ASM19114v1_CDS_0306","","","","GCF_001577285.1_ASM157728v1_CDS_2050","","GCA_003354845.1_ASM335484v1_CDS_4134","GCA_003359315.2_ASM335931v2_CDS_3783","","GCA_003359225.2_ASM335922v2_CDS_3927"
"GCA_003354845.1_ASM335484v1_CDS_4230","persistent","","10","11","1.1","NA","NA","","","","308","791","552.91","GCF_000191145.1_ASM19114v1_CDS_0235","GCA_003359215.2_ASM335921v2_CDS_3857","GCA_003359295.2_ASM335929v2_CDS_3365","GCF_001617545.1_ASM161754v1_CDS_1351","GCF_001577285.1_ASM157728v1_CDS_1981","GCA_003359275.2_ASM335927v2_CDS_3896","GCA_003354845.1_ASM335484v1_CDS_4230","GCA_003359315.2_ASM335931v2_CDS_3877","GCA_003359305.2_ASM335930v2_CDS_4668" "GCA_003359305.2_ASM335930v2_CDS_4667","GCA_003359225.2_ASM335922v2_CDS_4032"
"GCA_003359215.2_ASM335921v2_CDS_3253","cloud","","1","1","1.0","NA","NA","","","","206","206","206.0","","GCA_003359215.2_ASM335921v2_CDS_3253","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_3509","cloud","","1","1","1.0","NA","NA","","","","203","203","203.0","","GCA_003359215.2_ASM335921v2_CDS_3509","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_3605","cloud","","1","1","1.0","NA","NA","","","","161","161","161.0","","GCA_003359215.2_ASM335921v2_CDS_3605","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_3925","cloud","","5","5","1.0","NA","NA","","","","122","134","124.4","","GCA_003359215.2_ASM335921v2_CDS_3925","GCA_003359295.2_ASM335929v2_CDS_3433","","","","GCA_003354845.1_ASM335484v1_CDS_4298","GCA_003359315.2_ASM335931v2_CDS_3954","","GCA_003359225.2_ASM335922v2_CDS_4101"
"GCA_003359215.2_ASM335921v2_CDS_4182","cloud","","1","1","1.0","NA","NA","","","","179","179","179.0","","GCA_003359215.2_ASM335921v2_CDS_4182","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_4407","cloud","","5","5","1.0","NA","NA","","","","425","425","425.0","GCF_000191145.1_ASM19114v1_CDS_3417","GCA_003359215.2_ASM335921v2_CDS_4407","","GCF_001617545.1_ASM161754v1_CDS_0955","GCF_001577285.1_ASM157728v1_CDS_1519","","","","GCA_003359305.2_ASM335930v2_CDS_5424",""
"GCA_003359215.2_ASM335921v2_CDS_4503","cloud","","1","1","1.0","NA","NA","","","","1199","1199","1199.0","","GCA_003359215.2_ASM335921v2_CDS_4503","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_5113","cloud","","1","1","1.0","NA","NA","","","","431","431","431.0","","GCA_003359215.2_ASM335921v2_CDS_5113","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_5145","persistent","","10","11","1.1","NA","NA","","","","347","1025","930.64","GCF_000191145.1_ASM19114v1_CDS_2945","GCA_003359215.2_ASM335921v2_CDS_5145","GCA_003359295.2_ASM335929v2_CDS_4593","GCF_001617545.1_ASM161754v1_CDS_0486","GCF_001577285.1_ASM157728v1_CDS_1012","GCA_003359275.2_ASM335927v2_CDS_5188","GCA_003354845.1_ASM335484v1_CDS_5499","GCA_003359315.2_ASM335931v2_CDS_5138" "GCA_003359315.2_ASM335931v2_CDS_5137","GCA_003359305.2_ASM335930v2_CDS_6181","GCA_003359225.2_ASM335922v2_CDS_5350"
"GCA_003359215.2_ASM335921v2_CDS_5177","cloud","","3","3","1.0","NA","NA","","","","290","650","504.0","","GCA_003359215.2_ASM335921v2_CDS_5177","","","","GCA_003359275.2_ASM335927v2_CDS_5219","GCA_003354845.1_ASM335484v1_CDS_5523","","",""
"GCA_003359215.2_ASM335921v2_CDS_5274","cloud","","1","1","1.0","NA","NA","","","","308","308","308.0","","GCA_003359215.2_ASM335921v2_CDS_5274","","","","","","","",""
"GCA_003359295.2_ASM335929v2_CDS_0056","persistent","","10","10","1.0","NA","NA","","","","323","374","342.2","GCF_000191145.1_ASM19114v1_CDS_2896","GCA_003359215.2_ASM335921v2_CDS_0059","GCA_003359295.2_ASM335929v2_CDS_0056","GCF_001617545.1_ASM161754v1_CDS_0038","GCF_001577285.1_ASM157728v1_CDS_0914","GCA_003359275.2_ASM335927v2_CDS_0059","GCA_003354845.1_ASM335484v1_CDS_0058","GCA_003359315.2_ASM335931v2_CDS_0070","GCA_003359305.2_ASM335930v2_CDS_0071","GCA_003359225.2_ASM335922v2_CDS_0061"
"GCA_003359295.2_ASM335929v2_CDS_0120","persistent","","10","10","1.0","NA","NA","","","","395","443","438.2","GCF_000191145.1_ASM19114v1_CDS_2841","GCA_003359215.2_ASM335921v2_CDS_0135","GCA_003359295.2_ASM335929v2_CDS_0120","GCF_001617545.1_ASM161754v1_CDS_0093","GCF_001577285.1_ASM157728v1_CDS_0854","GCA_003359275.2_ASM335927v2_CDS_0130","GCA_003354845.1_ASM335484v1_CDS_0141","GCA_003359315.2_ASM335931v2_CDS_0149","GCA_003359305.2_ASM335930v2_CDS_0154","GCA_003359225.2_ASM335922v2_CDS_0145"
"GCA_003359295.2_ASM335929v2_CDS_0152","cloud","","3","3","1.0","NA","NA","","","","233","464","387.0","","","GCA_003359295.2_ASM335929v2_CDS_0152","","","","","GCA_003359315.2_ASM335931v2_CDS_0182","","GCA_003359225.2_ASM335922v2_CDS_0180"
"GCA_003359295.2_ASM335929v2_CDS_0312","cloud","","3","3","1.0","NA","NA","","","","215","227","219.0","","","GCA_003359295.2_ASM335929v2_CDS_0312","","GCF_001577285.1_ASM157728v1_CDS_0719","","","","","GCA_003359225.2_ASM335922v2_CDS_0348"
"GCA_003359295.2_ASM335929v2_CDS_0633","cloud","","1","1","1.0","NA","NA","","","","566","566","566.0","","","GCA_003359295.2_ASM335929v2_CDS_0633","","","","","","",""
"GCA_003359225.2_ASM335922v2_CDS_3680","cloud","","1","1","1.0","NA","NA","","","","206","206","206.0","","","","","","","","","","GCA_003359225.2_ASM335922v2_CDS_3680"
"GCA_003359225.2_ASM335922v2_CDS_3712","cloud","","4","4","1.0","NA","NA","","","","509","530","514.25","","","GCA_003359295.2_ASM335929v2_CDS_3082","","","GCA_003359275.2_ASM335927v2_CDS_3557","","GCA_003359315.2_ASM335931v2_CDS_3568","","GCA_003359225.2_ASM335922v2_CDS_3712"
"GCA_003359225.2_ASM335922v2_CDS_4128","cloud","","2","2","1.0","NA","NA","","","","1001","1346","1173.5","","","","","","","","","GCA_003359305.2_ASM335930v2_CDS_4754","GCA_003359225.2_ASM335922v2_CDS_4128"
"GCA_003359225.2_ASM335922v2_CDS_4609","cloud","","3","3","1.0","NA","NA","","","","185","185","185.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_4477","GCA_003354845.1_ASM335484v1_CDS_4749","","","GCA_003359225.2_ASM335922v2_CDS_4609"
"GCA_003359225.2_ASM335922v2_CDS_5281","cloud","","5","5","1.0","NA","NA","","","","461","509","497.6","","","GCA_003359295.2_ASM335929v2_CDS_4536","GCF_001617545.1_ASM161754v1_CDS_0530","","","GCA_003354845.1_ASM335484v1_CDS_5432","","GCA_003359305.2_ASM335930v2_CDS_6087","GCA_003359225.2_ASM335922v2_CDS_5281"
"GCA_003359225.2_ASM335922v2_CDS_5313","cloud","","1","1","1.0","NA","NA","","","","401","401","401.0","","","","","","","","","","GCA_003359225.2_ASM335922v2_CDS_5313"
"GCA_003359225.2_ASM335922v2_CDS_5441","cloud","","2","3","1.5","NA","NA","","","","638","2402","1487.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5627" "GCA_003359315.2_ASM335931v2_CDS_5628","","GCA_003359225.2_ASM335922v2_CDS_5441"
"GCA_003359225.2_ASM335922v2_CDS_5537","cloud","","1","1","1.0","NA","NA","","","","494","494","494.0","","","","","","","","","","GCA_003359225.2_ASM335922v2_CDS_5537"
"GCA_003359225.2_ASM335922v2_CDS_5601","cloud","","2","2","1.0","NA","NA","","","","671","755","713.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5465","","GCA_003359225.2_ASM335922v2_CDS_5601"
"GCA_003359225.2_ASM335922v2_CDS_5729","cloud","","2","4","2.0","NA","NA","","","","242","1130","557.75","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5288" "GCA_003359315.2_ASM335931v2_CDS_5287" "GCA_003359315.2_ASM335931v2_CDS_5289","","GCA_003359225.2_ASM335922v2_CDS_5729"
"GCA_003359225.2_ASM335922v2_CDS_5793","cloud","","2","2","1.0","NA","NA","","","","425","425","425.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5228","","GCA_003359225.2_ASM335922v2_CDS_5793"
"GCA_003359225.2_ASM335922v2_CDS_5985","cloud","","1","1","1.0","NA","NA","","","","281","281","281.0","","","","","","","","","","GCA_003359225.2_ASM335922v2_CDS_5985"
"GCA_003359225.2_ASM335922v2_CDS_6017","cloud","","1","1","1.0","NA","NA","","","","239","239","239.0","","","","","","","","","","GCA_003359225.2_ASM335922v2_CDS_6017"
"GCF_000191145.1_ASM19114v1_CDS_0046","persistent","","10","11","1.1","NA","NA","","","","221","614","428.27","GCF_000191145.1_ASM19114v1_CDS_0046","GCA_003359215.2_ASM335921v2_CDS_4116" "GCA_003359215.2_ASM335921v2_CDS_4117","GCA_003359295.2_ASM335929v2_CDS_3684","GCF_001617545.1_ASM161754v1_CDS_1150","GCF_001577285.1_ASM157728v1_CDS_1798","GCA_003359275.2_ASM335927v2_CDS_4171","GCA_003354845.1_ASM335484v1_CDS_4494","GCA_003359315.2_ASM335931v2_CDS_4165","GCA_003359305.2_ASM335930v2_CDS_5095","GCA_003359225.2_ASM335922v2_CDS_4319"
"GCF_000191145.1_ASM19114v1_CDS_0078","persistent","","10","14","1.4","NA","NA","","","","179","731","492.5","GCF_000191145.1_ASM19114v1_CDS_0078","GCA_003359215.2_ASM335921v2_CDS_4064" "GCA_003359215.2_ASM335921v2_CDS_4065","GCA_003359295.2_ASM335929v2_CDS_3646" "GCA_003359295.2_ASM335929v2_CDS_3645","GCF_001617545.1_ASM161754v1_CDS_1180","GCF_001577285.1_ASM157728v1_CDS_1828","GCA_003359275.2_ASM335927v2_CDS_4128","GCA_003354845.1_ASM335484v1_CDS_4447","GCA_003359315.2_ASM335931v2_CDS_4119" "GCA_003359315.2_ASM335931v2_CDS_4118","GCA_003359305.2_ASM335930v2_CDS_5040" "GCA_003359305.2_ASM335930v2_CDS_5039","GCA_003359225.2_ASM335922v2_CDS_4266"
"GCF_000191145.1_ASM19114v1_CDS_0239","persistent","","10","15","1.5","NA","NA","","","","242","1397","812.0","GCF_000191145.1_ASM19114v1_CDS_0239","GCA_003359215.2_ASM335921v2_CDS_3851","GCA_003359295.2_ASM335929v2_CDS_3358" "GCA_003359295.2_ASM335929v2_CDS_3357","GCF_001617545.1_ASM161754v1_CDS_1355","GCF_001577285.1_ASM157728v1_CDS_1985","GCA_003359275.2_ASM335927v2_CDS_3889" "GCA_003359275.2_ASM335927v2_CDS_3890","GCA_003354845.1_ASM335484v1_CDS_4224","GCA_003359315.2_ASM335931v2_CDS_3870" "GCA_003359315.2_ASM335931v2_CDS_3871","GCA_003359305.2_ASM335930v2_CDS_4660","GCA_003359225.2_ASM335922v2_CDS_4026" "GCA_003359225.2_ASM335922v2_CDS_4027" "GCA_003359225.2_ASM335922v2_CDS_4025"
"GCA_003359315.2_ASM335931v2_CDS_3434","cloud","","2","2","1.0","NA","NA","","","","125","125","125.0","","","GCA_003359295.2_ASM335929v2_CDS_2964","","","","","GCA_003359315.2_ASM335931v2_CDS_3434","",""
"GCA_003359315.2_ASM335931v2_CDS_3978","cloud","","1","1","1.0","NA","NA","","","","248","248","248.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_3978","",""
"GCA_003359315.2_ASM335931v2_CDS_4010","persistent","","10","10","1.0","NA","NA","","","","449","455","451.1","GCF_000191145.1_ASM19114v1_CDS_0157","GCA_003359215.2_ASM335921v2_CDS_3963","GCA_003359295.2_ASM335929v2_CDS_3542","GCF_001617545.1_ASM161754v1_CDS_1256","GCF_001577285.1_ASM157728v1_CDS_1905","GCA_003359275.2_ASM335927v2_CDS_4023","GCA_003354845.1_ASM335484v1_CDS_4335","GCA_003359315.2_ASM335931v2_CDS_4010","GCA_003359305.2_ASM335930v2_CDS_4916","GCA_003359225.2_ASM335922v2_CDS_4162"
"GCA_003359315.2_ASM335931v2_CDS_4492","shell","","3","3","1.0","NA","NA","","","","329","329","329.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_4551","","GCA_003359315.2_ASM335931v2_CDS_4492","","GCA_003359225.2_ASM335922v2_CDS_4684"
"GCA_003359315.2_ASM335931v2_CDS_5101","cloud","","1","1","1.0","NA","NA","","","","311","311","311.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5101","",""
"GCA_003359315.2_ASM335931v2_CDS_5230","cloud","","2","2","1.0","NA","NA","","","","974","1502","1238.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5230","","GCA_003359225.2_ASM335922v2_CDS_5791"
"GCA_003359315.2_ASM335931v2_CDS_5262","cloud","","2","2","1.0","NA","NA","","","","209","320","264.5","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5262","","GCA_003359225.2_ASM335922v2_CDS_5752"
"GCA_003359315.2_ASM335931v2_CDS_5294","cloud","","2","2","1.0","NA","NA","","","","488","488","488.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5294","","GCA_003359225.2_ASM335922v2_CDS_5723"
"GCA_003359315.2_ASM335931v2_CDS_5326","cloud","","1","1","1.0","NA","NA","","","","296","296","296.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5326","",""
"GCA_003359315.2_ASM335931v2_CDS_5390","cloud","","1","1","1.0","NA","NA","","","","626","626","626.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5390","",""
"GCA_003359315.2_ASM335931v2_CDS_5422","cloud","","1","1","1.0","NA","NA","","","","401","401","401.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5422","",""
"GCA_003359315.2_ASM335931v2_CDS_5486","cloud","","2","2","1.0","NA","NA","","","","800","923","861.5","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5486","","GCA_003359225.2_ASM335922v2_CDS_5575"
"GCA_003359315.2_ASM335931v2_CDS_5550","cloud","","2","3","1.5","NA","NA","","","","254","530","370.0","","","","","","","","GCA_003359315.2_ASM335931v2_CDS_5550","","GCA_003359225.2_ASM335922v2_CDS_5517" "GCA_003359225.2_ASM335922v2_CDS_5516"
