"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_014720715.1_ASM1472071v1","GCA_014717695.1_ASM1471769v1","GCA_014718155.1_ASM1471815v1","GCA_014718535.1_ASM1471853v1","GCA_014719655.1_ASM1471965v1","GCA_014718955.1_ASM1471895v1","GCA_014718755.1_ASM1471875v1","GCA_014717935.1_ASM1471793v1","GCA_014722275.1_ASM1472227v1","GCA_014720295.1_ASM1472029v1"
"GCA_014718155.1_ASM1471815v1_CDS_2284","cloud","","2","3","1.5","NA","NA","","","","200","689","413.0","","GCA_014717695.1_ASM1471769v1_CDS_2212" "GCA_014717695.1_ASM1471769v1_CDS_2211","GCA_014718155.1_ASM1471815v1_CDS_2284","","","","","","",""
"GCA_014718155.1_ASM1471815v1_CDS_2316","persistent","","9","9","1.0","NA","NA","","","","1289","1289","1289.0","GCA_014720715.1_ASM1472071v1_CDS_2409","GCA_014717695.1_ASM1471769v1_CDS_2242","GCA_014718155.1_ASM1471815v1_CDS_2316","GCA_014718535.1_ASM1471853v1_CDS_2384","GCA_014719655.1_ASM1471965v1_CDS_2361","","GCA_014718755.1_ASM1471875v1_CDS_2547","GCA_014717935.1_ASM1471793v1_CDS_2335","GCA_014722275.1_ASM1472227v1_CDS_1472","GCA_014720295.1_ASM1472029v1_CDS_1515"
"GCA_014718155.1_ASM1471815v1_CDS_2348","shell","","7","7","1.0","NA","NA","","","","959","983","962.43","","GCA_014717695.1_ASM1471769v1_CDS_2274","GCA_014718155.1_ASM1471815v1_CDS_2348","","GCA_014719655.1_ASM1471965v1_CDS_2392","","GCA_014718755.1_ASM1471875v1_CDS_2580","GCA_014717935.1_ASM1471793v1_CDS_2368","GCA_014722275.1_ASM1472227v1_CDS_1439","GCA_014720295.1_ASM1472029v1_CDS_1483"
"GCA_014718155.1_ASM1471815v1_CDS_2444","cloud","","6","6","1.0","NA","NA","","","","707","707","707.0","GCA_014720715.1_ASM1472071v1_CDS_2512","GCA_014717695.1_ASM1471769v1_CDS_2370","GCA_014718155.1_ASM1471815v1_CDS_2444","GCA_014718535.1_ASM1471853v1_CDS_2494","","GCA_014718955.1_ASM1471895v1_CDS_2522","","GCA_014717935.1_ASM1471793v1_CDS_2469","",""
"GCA_014718155.1_ASM1471815v1_CDS_2476","persistent","","10","11","1.1","NA","NA","","","","560","1532","1264.18","GCA_014720715.1_ASM1472071v1_CDS_2542","GCA_014717695.1_ASM1471769v1_CDS_2402","GCA_014718155.1_ASM1471815v1_CDS_2476","GCA_014718535.1_ASM1471853v1_CDS_2523","GCA_014719655.1_ASM1471965v1_CDS_2515" "GCA_014719655.1_ASM1471965v1_CDS_2516","GCA_014718955.1_ASM1471895v1_CDS_2551","GCA_014718755.1_ASM1471875v1_CDS_2709","GCA_014717935.1_ASM1471793v1_CDS_2501","GCA_014722275.1_ASM1472227v1_CDS_1305","GCA_014720295.1_ASM1472029v1_CDS_1344"
"GCA_014718155.1_ASM1471815v1_CDS_2604","persistent","","10","10","1.0","NA","NA","","","","716","716","716.0","GCA_014720715.1_ASM1472071v1_CDS_2615","GCA_014717695.1_ASM1471769v1_CDS_2538","GCA_014718155.1_ASM1471815v1_CDS_2604","GCA_014718535.1_ASM1471853v1_CDS_2594","GCA_014719655.1_ASM1471965v1_CDS_2583","GCA_014718955.1_ASM1471895v1_CDS_2616","GCA_014718755.1_ASM1471875v1_CDS_2771","GCA_014717935.1_ASM1471793v1_CDS_2564","GCA_014722275.1_ASM1472227v1_CDS_1242","GCA_014720295.1_ASM1472029v1_CDS_1278"
"GCA_014718155.1_ASM1471815v1_CDS_2668","persistent","","10","11","1.1","NA","NA","","","","500","1139","1038.91","GCA_014720715.1_ASM1472071v1_CDS_2670","GCA_014717695.1_ASM1471769v1_CDS_2600","GCA_014718155.1_ASM1471815v1_CDS_2668","GCA_014718535.1_ASM1471853v1_CDS_2658" "GCA_014718535.1_ASM1471853v1_CDS_2657","GCA_014719655.1_ASM1471965v1_CDS_2719","GCA_014718955.1_ASM1471895v1_CDS_2681","GCA_014718755.1_ASM1471875v1_CDS_2834","GCA_014717935.1_ASM1471793v1_CDS_2627","GCA_014722275.1_ASM1472227v1_CDS_1181","GCA_014720295.1_ASM1472029v1_CDS_1211"
"GCA_014718155.1_ASM1471815v1_CDS_2796","persistent","","10","10","1.0","NA","NA","","","","479","479","479.0","GCA_014720715.1_ASM1472071v1_CDS_2791","GCA_014717695.1_ASM1471769v1_CDS_2737","GCA_014718155.1_ASM1471815v1_CDS_2796","GCA_014718535.1_ASM1471853v1_CDS_2828","GCA_014719655.1_ASM1471965v1_CDS_2830","GCA_014718955.1_ASM1471895v1_CDS_2820","GCA_014718755.1_ASM1471875v1_CDS_3085","GCA_014717935.1_ASM1471793v1_CDS_2793","GCA_014722275.1_ASM1472227v1_CDS_1002","GCA_014720295.1_ASM1472029v1_CDS_1028"
"GCA_014718155.1_ASM1471815v1_CDS_2828","persistent","","10","10","1.0","NA","NA","","","","617","617","617.0","GCA_014720715.1_ASM1472071v1_CDS_2824","GCA_014717695.1_ASM1471769v1_CDS_2769","GCA_014718155.1_ASM1471815v1_CDS_2828","GCA_014718535.1_ASM1471853v1_CDS_2860","GCA_014719655.1_ASM1471965v1_CDS_2862","GCA_014718955.1_ASM1471895v1_CDS_2853","GCA_014718755.1_ASM1471875v1_CDS_3117","GCA_014717935.1_ASM1471793v1_CDS_2825","GCA_014722275.1_ASM1472227v1_CDS_0971","GCA_014720295.1_ASM1472029v1_CDS_0994"
"GCA_014718155.1_ASM1471815v1_CDS_2892","persistent","","10","10","1.0","NA","NA","","","","857","1346","1297.1","GCA_014720715.1_ASM1472071v1_CDS_2912","GCA_014717695.1_ASM1471769v1_CDS_2832","GCA_014718155.1_ASM1471815v1_CDS_2892","GCA_014718535.1_ASM1471853v1_CDS_2942","GCA_014719655.1_ASM1471965v1_CDS_2929","GCA_014718955.1_ASM1471895v1_CDS_2919","GCA_014718755.1_ASM1471875v1_CDS_3184","GCA_014717935.1_ASM1471793v1_CDS_2890","GCA_014722275.1_ASM1472227v1_CDS_0905","GCA_014720295.1_ASM1472029v1_CDS_0925"
"GCA_014718155.1_ASM1471815v1_CDS_2924","persistent","","9","9","1.0","NA","NA","","","","323","323","323.0","GCA_014720715.1_ASM1472071v1_CDS_2939","GCA_014717695.1_ASM1471769v1_CDS_2864","GCA_014718155.1_ASM1471815v1_CDS_2924","","GCA_014719655.1_ASM1471965v1_CDS_2981","GCA_014718955.1_ASM1471895v1_CDS_2953","GCA_014718755.1_ASM1471875v1_CDS_3224","GCA_014717935.1_ASM1471793v1_CDS_2915","GCA_014722275.1_ASM1472227v1_CDS_0862","GCA_014720295.1_ASM1472029v1_CDS_0882"
"GCA_014718155.1_ASM1471815v1_CDS_2989","persistent","","10","11","1.1","NA","NA","","","","212","560","513.36","GCA_014720715.1_ASM1472071v1_CDS_3005","GCA_014717695.1_ASM1471769v1_CDS_2931","GCA_014718155.1_ASM1471815v1_CDS_2989","GCA_014718535.1_ASM1471853v1_CDS_3042","GCA_014719655.1_ASM1471965v1_CDS_3055","GCA_014718955.1_ASM1471895v1_CDS_3027" "GCA_014718955.1_ASM1471895v1_CDS_3028","GCA_014718755.1_ASM1471875v1_CDS_3294","GCA_014717935.1_ASM1471793v1_CDS_3006","GCA_014722275.1_ASM1472227v1_CDS_0792","GCA_014720295.1_ASM1472029v1_CDS_0809"
"GCA_014718155.1_ASM1471815v1_CDS_3053","persistent","","10","12","1.2","NA","NA","","","","122","1787","1494.5","GCA_014720715.1_ASM1472071v1_CDS_3076" "GCA_014720715.1_ASM1472071v1_CDS_3075" "GCA_014720715.1_ASM1472071v1_CDS_3074","GCA_014717695.1_ASM1471769v1_CDS_3013","GCA_014718155.1_ASM1471815v1_CDS_3053","GCA_014718535.1_ASM1471853v1_CDS_3113","GCA_014719655.1_ASM1471965v1_CDS_3123","GCA_014718955.1_ASM1471895v1_CDS_3093","GCA_014718755.1_ASM1471875v1_CDS_3359","GCA_014717935.1_ASM1471793v1_CDS_3071","GCA_014722275.1_ASM1472227v1_CDS_0726","GCA_014720295.1_ASM1472029v1_CDS_0743"
"GCA_014718155.1_ASM1471815v1_CDS_3085","persistent","","10","10","1.0","NA","NA","","","","1082","1091","1082.9","GCA_014720715.1_ASM1472071v1_CDS_3092","GCA_014717695.1_ASM1471769v1_CDS_3046","GCA_014718155.1_ASM1471815v1_CDS_3085","GCA_014718535.1_ASM1471853v1_CDS_3129","GCA_014719655.1_ASM1471965v1_CDS_3140","GCA_014718955.1_ASM1471895v1_CDS_3108","GCA_014718755.1_ASM1471875v1_CDS_3374","GCA_014717935.1_ASM1471793v1_CDS_3087","GCA_014722275.1_ASM1472227v1_CDS_0710","GCA_014720295.1_ASM1472029v1_CDS_0728"
"GCA_014718155.1_ASM1471815v1_CDS_3117","persistent","","10","10","1.0","NA","NA","","","","266","1175","1084.1","GCA_014720715.1_ASM1472071v1_CDS_3120","GCA_014717695.1_ASM1471769v1_CDS_3080","GCA_014718155.1_ASM1471815v1_CDS_3117","GCA_014718535.1_ASM1471853v1_CDS_3157","GCA_014719655.1_ASM1471965v1_CDS_3172","GCA_014718955.1_ASM1471895v1_CDS_3145","GCA_014718755.1_ASM1471875v1_CDS_3403","GCA_014717935.1_ASM1471793v1_CDS_3123","GCA_014722275.1_ASM1472227v1_CDS_0682","GCA_014720295.1_ASM1472029v1_CDS_0697"
"GCA_014718155.1_ASM1471815v1_CDS_3182","persistent","","10","10","1.0","NA","NA","","","","194","194","194.0","GCA_014720715.1_ASM1472071v1_CDS_3187","GCA_014717695.1_ASM1471769v1_CDS_3145","GCA_014718155.1_ASM1471815v1_CDS_3182","GCA_014718535.1_ASM1471853v1_CDS_3222","GCA_014719655.1_ASM1471965v1_CDS_3241","GCA_014718955.1_ASM1471895v1_CDS_3209","GCA_014718755.1_ASM1471875v1_CDS_3466","GCA_014717935.1_ASM1471793v1_CDS_3186","GCA_014722275.1_ASM1472227v1_CDS_0616","GCA_014720295.1_ASM1472029v1_CDS_0624"
"GCA_014718155.1_ASM1471815v1_CDS_3214","persistent","","10","10","1.0","NA","NA","","","","644","926","858.2","GCA_014720715.1_ASM1472071v1_CDS_3218","GCA_014717695.1_ASM1471769v1_CDS_3178","GCA_014718155.1_ASM1471815v1_CDS_3214","GCA_014718535.1_ASM1471853v1_CDS_3253","GCA_014719655.1_ASM1471965v1_CDS_3273","GCA_014718955.1_ASM1471895v1_CDS_3244","GCA_014718755.1_ASM1471875v1_CDS_3497","GCA_014717935.1_ASM1471793v1_CDS_3219","GCA_014722275.1_ASM1472227v1_CDS_0584","GCA_014720295.1_ASM1472029v1_CDS_0593"
"GCA_014718155.1_ASM1471815v1_CDS_3246","persistent","","10","10","1.0","NA","NA","","","","416","416","416.0","GCA_014720715.1_ASM1472071v1_CDS_3276","GCA_014717695.1_ASM1471769v1_CDS_3256","GCA_014718155.1_ASM1471815v1_CDS_3246","GCA_014718535.1_ASM1471853v1_CDS_3311","GCA_014719655.1_ASM1471965v1_CDS_3380","GCA_014718955.1_ASM1471895v1_CDS_3346","GCA_014718755.1_ASM1471875v1_CDS_3557","GCA_014717935.1_ASM1471793v1_CDS_3251","GCA_014722275.1_ASM1472227v1_CDS_0520","GCA_014720295.1_ASM1472029v1_CDS_0531"
"GCA_014718155.1_ASM1471815v1_CDS_3278","persistent","","10","12","1.2","NA","NA","","","","596","1526","1283.5","GCA_014720715.1_ASM1472071v1_CDS_3333" "GCA_014720715.1_ASM1472071v1_CDS_3332","GCA_014717695.1_ASM1471769v1_CDS_3286","GCA_014718155.1_ASM1471815v1_CDS_3278","GCA_014718535.1_ASM1471853v1_CDS_3368" "GCA_014718535.1_ASM1471853v1_CDS_3369","GCA_014719655.1_ASM1471965v1_CDS_3408","GCA_014718955.1_ASM1471895v1_CDS_3374","GCA_014718755.1_ASM1471875v1_CDS_3586","GCA_014717935.1_ASM1471793v1_CDS_3281","GCA_014722275.1_ASM1472227v1_CDS_0491","GCA_014720295.1_ASM1472029v1_CDS_0502"
"GCA_014718155.1_ASM1471815v1_CDS_3342","persistent","","10","10","1.0","NA","NA","","","","1010","1010","1010.0","GCA_014720715.1_ASM1472071v1_CDS_3397","GCA_014717695.1_ASM1471769v1_CDS_3352","GCA_014718155.1_ASM1471815v1_CDS_3342","GCA_014718535.1_ASM1471853v1_CDS_3432","GCA_014719655.1_ASM1471965v1_CDS_3471","GCA_014718955.1_ASM1471895v1_CDS_3438","GCA_014718755.1_ASM1471875v1_CDS_3647","GCA_014717935.1_ASM1471793v1_CDS_3344","GCA_014722275.1_ASM1472227v1_CDS_0423","GCA_014720295.1_ASM1472029v1_CDS_0438"
"GCA_014718155.1_ASM1471815v1_CDS_3374","persistent","","10","10","1.0","NA","NA","","","","1247","1247","1247.0","GCA_014720715.1_ASM1472071v1_CDS_3435","GCA_014717695.1_ASM1471769v1_CDS_3385","GCA_014718155.1_ASM1471815v1_CDS_3374","GCA_014718535.1_ASM1471853v1_CDS_3467","GCA_014719655.1_ASM1471965v1_CDS_3503","GCA_014718955.1_ASM1471895v1_CDS_3473","GCA_014718755.1_ASM1471875v1_CDS_3681","GCA_014717935.1_ASM1471793v1_CDS_3378","GCA_014722275.1_ASM1472227v1_CDS_0390","GCA_014720295.1_ASM1472029v1_CDS_0405"
"GCA_014718155.1_ASM1471815v1_CDS_3406","persistent","","10","10","1.0","NA","NA","","","","2093","2093","2093.0","GCA_014720715.1_ASM1472071v1_CDS_3470","GCA_014717695.1_ASM1471769v1_CDS_3420","GCA_014718155.1_ASM1471815v1_CDS_3406","GCA_014718535.1_ASM1471853v1_CDS_3501","GCA_014719655.1_ASM1471965v1_CDS_3534","GCA_014718955.1_ASM1471895v1_CDS_3510","GCA_014718755.1_ASM1471875v1_CDS_3713","GCA_014717935.1_ASM1471793v1_CDS_3410","GCA_014722275.1_ASM1472227v1_CDS_0357","GCA_014720295.1_ASM1472029v1_CDS_0373"
"GCA_014718155.1_ASM1471815v1_CDS_3438","persistent","","10","10","1.0","NA","NA","","","","794","794","794.0","GCA_014720715.1_ASM1472071v1_CDS_3501","GCA_014717695.1_ASM1471769v1_CDS_3453","GCA_014718155.1_ASM1471815v1_CDS_3438","GCA_014718535.1_ASM1471853v1_CDS_3533","GCA_014719655.1_ASM1471965v1_CDS_3567","GCA_014718955.1_ASM1471895v1_CDS_3545","GCA_014718755.1_ASM1471875v1_CDS_3743","GCA_014717935.1_ASM1471793v1_CDS_3443","GCA_014722275.1_ASM1472227v1_CDS_0325","GCA_014720295.1_ASM1472029v1_CDS_0342"
"GCA_014718155.1_ASM1471815v1_CDS_3470","persistent","","10","11","1.1","NA","NA","","","","398","902","804.36","GCA_014720715.1_ASM1472071v1_CDS_3533","GCA_014717695.1_ASM1471769v1_CDS_3486","GCA_014718155.1_ASM1471815v1_CDS_3470","GCA_014718535.1_ASM1471853v1_CDS_3566","GCA_014719655.1_ASM1471965v1_CDS_3597","GCA_014718955.1_ASM1471895v1_CDS_3579","GCA_014718755.1_ASM1471875v1_CDS_3773","GCA_014717935.1_ASM1471793v1_CDS_3475","GCA_014722275.1_ASM1472227v1_CDS_0294","GCA_014720295.1_ASM1472029v1_CDS_0312" "GCA_014720295.1_ASM1472029v1_CDS_0311"
"GCA_014718155.1_ASM1471815v1_CDS_3534","persistent","","10","10","1.0","NA","NA","","","","407","407","407.0","GCA_014720715.1_ASM1472071v1_CDS_3601","GCA_014717695.1_ASM1471769v1_CDS_3550","GCA_014718155.1_ASM1471815v1_CDS_3534","GCA_014718535.1_ASM1471853v1_CDS_3636","GCA_014719655.1_ASM1471965v1_CDS_3665","GCA_014718955.1_ASM1471895v1_CDS_3647","GCA_014718755.1_ASM1471875v1_CDS_3838","GCA_014717935.1_ASM1471793v1_CDS_3541","GCA_014722275.1_ASM1472227v1_CDS_0230","GCA_014720295.1_ASM1472029v1_CDS_0246"
"GCA_014718155.1_ASM1471815v1_CDS_3566","persistent","","10","10","1.0","NA","NA","","","","1259","1271","1269.8","GCA_014720715.1_ASM1472071v1_CDS_3642","GCA_014717695.1_ASM1471769v1_CDS_3582","GCA_014718155.1_ASM1471815v1_CDS_3566","GCA_014718535.1_ASM1471853v1_CDS_3675","GCA_014719655.1_ASM1471965v1_CDS_3700","GCA_014718955.1_ASM1471895v1_CDS_3690","GCA_014718755.1_ASM1471875v1_CDS_3891","GCA_014717935.1_ASM1471793v1_CDS_3574","GCA_014722275.1_ASM1472227v1_CDS_0196","GCA_014720295.1_ASM1472029v1_CDS_0192"
"GCA_014718155.1_ASM1471815v1_CDS_3599","persistent","","10","12","1.2","NA","NA","","","","278","839","705.0","GCA_014720715.1_ASM1472071v1_CDS_3678" "GCA_014720715.1_ASM1472071v1_CDS_3677","GCA_014717695.1_ASM1471769v1_CDS_3616","GCA_014718155.1_ASM1471815v1_CDS_3599","GCA_014718535.1_ASM1471853v1_CDS_3710" "GCA_014718535.1_ASM1471853v1_CDS_3709","GCA_014719655.1_ASM1471965v1_CDS_3734","GCA_014718955.1_ASM1471895v1_CDS_3724","GCA_014718755.1_ASM1471875v1_CDS_3923","GCA_014717935.1_ASM1471793v1_CDS_3607","GCA_014722275.1_ASM1472227v1_CDS_0164","GCA_014720295.1_ASM1472029v1_CDS_0159"
"GCA_014718155.1_ASM1471815v1_CDS_3631","persistent","","8","8","1.0","NA","NA","","","","260","260","260.0","GCA_014720715.1_ASM1472071v1_CDS_3711","GCA_014717695.1_ASM1471769v1_CDS_3649","GCA_014718155.1_ASM1471815v1_CDS_3631","GCA_014718535.1_ASM1471853v1_CDS_3745","","","GCA_014718755.1_ASM1471875v1_CDS_3954","GCA_014717935.1_ASM1471793v1_CDS_3638","GCA_014722275.1_ASM1472227v1_CDS_0129","GCA_014720295.1_ASM1472029v1_CDS_0125"
"GCA_014718155.1_ASM1471815v1_CDS_3663","persistent","","9","9","1.0","NA","NA","","","","584","584","584.0","GCA_014720715.1_ASM1472071v1_CDS_3745","GCA_014717695.1_ASM1471769v1_CDS_3682","GCA_014718155.1_ASM1471815v1_CDS_3663","GCA_014718535.1_ASM1471853v1_CDS_3776","GCA_014719655.1_ASM1471965v1_CDS_3828","","GCA_014718755.1_ASM1471875v1_CDS_3983","GCA_014717935.1_ASM1471793v1_CDS_3667","GCA_014722275.1_ASM1472227v1_CDS_0099","GCA_014720295.1_ASM1472029v1_CDS_0097"
"GCA_014718155.1_ASM1471815v1_CDS_3727","persistent","","10","10","1.0","NA","NA","","","","983","983","983.0","GCA_014720715.1_ASM1472071v1_CDS_3816","GCA_014717695.1_ASM1471769v1_CDS_3747","GCA_014718155.1_ASM1471815v1_CDS_3727","GCA_014718535.1_ASM1471853v1_CDS_3850","GCA_014719655.1_ASM1471965v1_CDS_3889","GCA_014718955.1_ASM1471895v1_CDS_3892","GCA_014718755.1_ASM1471875v1_CDS_4053","GCA_014717935.1_ASM1471793v1_CDS_3727","GCA_014722275.1_ASM1472227v1_CDS_0030","GCA_014720295.1_ASM1472029v1_CDS_0028"
"GCA_014718155.1_ASM1471815v1_CDS_3759","persistent","","10","10","1.0","NA","NA","","","","953","956","955.4","GCA_014720715.1_ASM1472071v1_CDS_3850","GCA_014717695.1_ASM1471769v1_CDS_3779","GCA_014718155.1_ASM1471815v1_CDS_3759","GCA_014718535.1_ASM1471853v1_CDS_3884","GCA_014719655.1_ASM1471965v1_CDS_3920","GCA_014718955.1_ASM1471895v1_CDS_3923","GCA_014718755.1_ASM1471875v1_CDS_4084","GCA_014717935.1_ASM1471793v1_CDS_3759","GCA_014722275.1_ASM1472227v1_CDS_4079","GCA_014720295.1_ASM1472029v1_CDS_4114"
"GCA_014718155.1_ASM1471815v1_CDS_3823","cloud","","1","1","1.0","NA","NA","","","","233","233","233.0","","","GCA_014718155.1_ASM1471815v1_CDS_3823","","","","","","",""
"GCA_014718155.1_ASM1471815v1_CDS_3887","cloud","","1","1","1.0","NA","NA","","","","635","635","635.0","","","GCA_014718155.1_ASM1471815v1_CDS_3887","","","","","","",""
