"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_001278715.1_ASM127871v1","GCF_002165255.2_ASM216525v2","GCF_001647675.1_ASM164767v1","GCF_002688565.1_ASM268856v1","GCF_002934695.1_ASM293469v1","GCF_002165295.2_ASM216529v2","GCA_001581975.1_ASM158197v1","GCF_001612555.1_ASM161255v1","GCF_001696615.3_ASM169661v3","GCF_002165305.2_ASM216530v2"
"GCF_002165305.2_ASM216530v2_CDS_3574","cloud","","1","1","1.0","NA","NA","","","","740","740","740.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3574"
"GCF_002165305.2_ASM216530v2_CDS_3606","cloud","","1","1","1.0","NA","NA","","","","935","935","935.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3606"
"GCF_002165305.2_ASM216530v2_CDS_3638","cloud","","1","1","1.0","NA","NA","","","","845","845","845.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3638"
"GCF_002165305.2_ASM216530v2_CDS_3670","cloud","","1","1","1.0","NA","NA","","","","1184","1184","1184.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3670"
"GCF_001278715.1_ASM127871v1_CDS_0044","persistent","","10","10","1.0","NA","NA","","","","1007","1031","1012.1","GCF_001278715.1_ASM127871v1_CDS_0044","GCF_002165255.2_ASM216525v2_CDS_1428","GCF_001647675.1_ASM164767v1_CDS_1222","GCF_002688565.1_ASM268856v1_CDS_2365","GCF_002934695.1_ASM293469v1_CDS_1165","GCF_002165295.2_ASM216529v2_CDS_1445","GCA_001581975.1_ASM158197v1_CDS_1936","GCF_001612555.1_ASM161255v1_CDS_1724","GCF_001696615.3_ASM169661v3_CDS_0261","GCF_002165305.2_ASM216530v2_CDS_1541"
"GCF_001278715.1_ASM127871v1_CDS_0172","cloud","","1","1","1.0","NA","NA","","","","1700","1700","1700.0","GCF_001278715.1_ASM127871v1_CDS_0172","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0236","cloud","","1","1","1.0","NA","NA","","","","212","212","212.0","GCF_001278715.1_ASM127871v1_CDS_0236","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0300","cloud","","1","1","1.0","NA","NA","","","","467","467","467.0","GCF_001278715.1_ASM127871v1_CDS_0300","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0396","cloud","","2","2","1.0","NA","NA","","","","362","428","395.0","GCF_001278715.1_ASM127871v1_CDS_0396","","","","","","","GCF_001612555.1_ASM161255v1_CDS_1575","",""
"GCF_001278715.1_ASM127871v1_CDS_0460","cloud","","1","1","1.0","NA","NA","","","","674","674","674.0","GCF_001278715.1_ASM127871v1_CDS_0460","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0492","cloud","","1","1","1.0","NA","NA","","","","383","383","383.0","GCF_001278715.1_ASM127871v1_CDS_0492","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0524","cloud","","1","1","1.0","NA","NA","","","","905","905","905.0","GCF_001278715.1_ASM127871v1_CDS_0524","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0620","cloud","","1","1","1.0","NA","NA","","","","131","131","131.0","GCF_001278715.1_ASM127871v1_CDS_0620","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2326","cloud","","1","1","1.0","NA","NA","","","","1313","1313","1313.0","GCF_001278715.1_ASM127871v1_CDS_2326","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2390","cloud","","1","1","1.0","NA","NA","","","","473","473","473.0","GCF_001278715.1_ASM127871v1_CDS_2390","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2422","cloud","","1","1","1.0","NA","NA","","","","752","752","752.0","GCF_001278715.1_ASM127871v1_CDS_2422","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2550","cloud","","1","1","1.0","NA","NA","","","","551","551","551.0","GCF_001278715.1_ASM127871v1_CDS_2550","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2582","cloud","","1","1","1.0","NA","NA","","","","569","569","569.0","GCF_001278715.1_ASM127871v1_CDS_2582","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2646","cloud","","1","1","1.0","NA","NA","","","","584","584","584.0","GCF_001278715.1_ASM127871v1_CDS_2646","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2679","cloud","","1","1","1.0","NA","NA","","","","593","593","593.0","GCF_001278715.1_ASM127871v1_CDS_2679","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2743","cloud","","1","1","1.0","NA","NA","","","","926","926","926.0","GCF_001278715.1_ASM127871v1_CDS_2743","","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0045","cloud","","3","3","1.0","NA","NA","","","","458","560","511.0","","GCF_002165255.2_ASM216525v2_CDS_0045","","","","","GCA_001581975.1_ASM158197v1_CDS_0042","","","GCF_002165305.2_ASM216530v2_CDS_0060"
"GCF_002165255.2_ASM216525v2_CDS_0141","cloud","","1","1","1.0","NA","NA","","","","1373","1373","1373.0","","GCF_002165255.2_ASM216525v2_CDS_0141","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0205","cloud","","1","1","1.0","NA","NA","","","","893","893","893.0","","GCF_002165255.2_ASM216525v2_CDS_0205","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0237","cloud","","1","1","1.0","NA","NA","","","","1499","1499","1499.0","","GCF_002165255.2_ASM216525v2_CDS_0237","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0269","cloud","","1","1","1.0","NA","NA","","","","1127","1127","1127.0","","GCF_002165255.2_ASM216525v2_CDS_0269","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0333","cloud","","2","2","1.0","NA","NA","","","","281","794","537.5","","GCF_002165255.2_ASM216525v2_CDS_0333","","","","","GCA_001581975.1_ASM158197v1_CDS_0401","","",""
"GCF_002165255.2_ASM216525v2_CDS_0462","cloud","","2","2","1.0","NA","NA","","","","494","494","494.0","","GCF_002165255.2_ASM216525v2_CDS_0462","","","","","GCA_001581975.1_ASM158197v1_CDS_0554","","",""
"GCF_002165255.2_ASM216525v2_CDS_0559","cloud","","1","1","1.0","NA","NA","","","","1130","1130","1130.0","","GCF_002165255.2_ASM216525v2_CDS_0559","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0591","cloud","","2","2","1.0","NA","NA","","","","1640","1649","1644.5","","GCF_002165255.2_ASM216525v2_CDS_0591","","","","","GCA_001581975.1_ASM158197v1_CDS_2929","","",""
"GCF_002165255.2_ASM216525v2_CDS_0655","cloud","","1","1","1.0","NA","NA","","","","713","713","713.0","","GCF_002165255.2_ASM216525v2_CDS_0655","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0752","cloud","","2","2","1.0","NA","NA","","","","776","782","779.0","","GCF_002165255.2_ASM216525v2_CDS_0752","","","","","GCA_001581975.1_ASM158197v1_CDS_2794","","",""
"GCF_002165255.2_ASM216525v2_CDS_0784","cloud","","1","1","1.0","NA","NA","","","","1031","1031","1031.0","","GCF_002165255.2_ASM216525v2_CDS_0784","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0881","cloud","","1","1","1.0","NA","NA","","","","800","800","800.0","","GCF_002165255.2_ASM216525v2_CDS_0881","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0913","cloud","","1","1","1.0","NA","NA","","","","1595","1595","1595.0","","GCF_002165255.2_ASM216525v2_CDS_0913","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0945","cloud","","1","1","1.0","NA","NA","","","","1007","1007","1007.0","","GCF_002165255.2_ASM216525v2_CDS_0945","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0977","cloud","","1","1","1.0","NA","NA","","","","548","548","548.0","","GCF_002165255.2_ASM216525v2_CDS_0977","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1041","cloud","","1","1","1.0","NA","NA","","","","233","233","233.0","","GCF_002165255.2_ASM216525v2_CDS_1041","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1073","cloud","","1","1","1.0","NA","NA","","","","986","986","986.0","","GCF_002165255.2_ASM216525v2_CDS_1073","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1137","cloud","","1","1","1.0","NA","NA","","","","353","353","353.0","","GCF_002165255.2_ASM216525v2_CDS_1137","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1201","cloud","","1","1","1.0","NA","NA","","","","1727","1727","1727.0","","GCF_002165255.2_ASM216525v2_CDS_1201","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1297","cloud","","1","1","1.0","NA","NA","","","","554","554","554.0","","GCF_002165255.2_ASM216525v2_CDS_1297","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1329","cloud","","1","1","1.0","NA","NA","","","","632","632","632.0","","GCF_002165255.2_ASM216525v2_CDS_1329","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1361","cloud","","1","1","1.0","NA","NA","","","","359","359","359.0","","GCF_002165255.2_ASM216525v2_CDS_1361","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1425","cloud","","1","1","1.0","NA","NA","","","","746","746","746.0","","GCF_002165255.2_ASM216525v2_CDS_1425","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1457","cloud","","1","1","1.0","NA","NA","","","","740","740","740.0","","GCF_002165255.2_ASM216525v2_CDS_1457","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1521","cloud","","1","1","1.0","NA","NA","","","","1010","1010","1010.0","","GCF_002165255.2_ASM216525v2_CDS_1521","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1713","cloud","","2","2","1.0","NA","NA","","","","449","449","449.0","","GCF_002165255.2_ASM216525v2_CDS_1713","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3090",""
"GCF_002165255.2_ASM216525v2_CDS_1745","cloud","","1","1","1.0","NA","NA","","","","1391","1391","1391.0","","GCF_002165255.2_ASM216525v2_CDS_1745","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1809","shell","","6","6","1.0","NA","NA","","","","1172","1211","1185.0","","GCF_002165255.2_ASM216525v2_CDS_1809","","","GCF_002934695.1_ASM293469v1_CDS_3227","GCF_002165295.2_ASM216529v2_CDS_1891","GCA_001581975.1_ASM158197v1_CDS_1424","","GCF_001696615.3_ASM169661v3_CDS_1953","GCF_002165305.2_ASM216530v2_CDS_1378"
"GCF_002165255.2_ASM216525v2_CDS_1841","cloud","","1","1","1.0","NA","NA","","","","1604","1604","1604.0","","GCF_002165255.2_ASM216525v2_CDS_1841","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1873","cloud","","1","1","1.0","NA","NA","","","","665","665","665.0","","GCF_002165255.2_ASM216525v2_CDS_1873","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1937","cloud","","1","1","1.0","NA","NA","","","","563","563","563.0","","GCF_002165255.2_ASM216525v2_CDS_1937","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1969","cloud","","1","1","1.0","NA","NA","","","","2174","2174","2174.0","","GCF_002165255.2_ASM216525v2_CDS_1969","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2001","cloud","","1","1","1.0","NA","NA","","","","1016","1016","1016.0","","GCF_002165255.2_ASM216525v2_CDS_2001","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2033","cloud","","1","1","1.0","NA","NA","","","","1106","1106","1106.0","","GCF_002165255.2_ASM216525v2_CDS_2033","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2065","cloud","","1","1","1.0","NA","NA","","","","866","866","866.0","","GCF_002165255.2_ASM216525v2_CDS_2065","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2097","cloud","","1","1","1.0","NA","NA","","","","653","653","653.0","","GCF_002165255.2_ASM216525v2_CDS_2097","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2162","cloud","","1","1","1.0","NA","NA","","","","1055","1055","1055.0","","GCF_002165255.2_ASM216525v2_CDS_2162","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2258","cloud","","1","1","1.0","NA","NA","","","","575","575","575.0","","GCF_002165255.2_ASM216525v2_CDS_2258","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2290","cloud","","1","1","1.0","NA","NA","","","","380","380","380.0","","GCF_002165255.2_ASM216525v2_CDS_2290","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2386","cloud","","1","1","1.0","NA","NA","","","","797","797","797.0","","GCF_002165255.2_ASM216525v2_CDS_2386","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2418","cloud","","2","2","1.0","NA","NA","","","","800","2252","1526.0","","GCF_002165255.2_ASM216525v2_CDS_2418","","","","","GCA_001581975.1_ASM158197v1_CDS_3418","","",""
"GCF_002165255.2_ASM216525v2_CDS_2450","cloud","","1","1","1.0","NA","NA","","","","1565","1565","1565.0","","GCF_002165255.2_ASM216525v2_CDS_2450","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2482","cloud","","1","1","1.0","NA","NA","","","","1847","1847","1847.0","","GCF_002165255.2_ASM216525v2_CDS_2482","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2515","cloud","","1","1","1.0","NA","NA","","","","347","347","347.0","","GCF_002165255.2_ASM216525v2_CDS_2515","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2547","cloud","","1","1","1.0","NA","NA","","","","608","608","608.0","","GCF_002165255.2_ASM216525v2_CDS_2547","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_2643","cloud","","1","1","1.0","NA","NA","","","","683","683","683.0","","GCF_002165255.2_ASM216525v2_CDS_2643","","","","","","","",""
"GCF_002165305.2_ASM216530v2_CDS_1079","persistent","","8","8","1.0","NA","NA","","","","842","857","848.0","GCF_001278715.1_ASM127871v1_CDS_2689","","GCF_001647675.1_ASM164767v1_CDS_0987","GCF_002688565.1_ASM268856v1_CDS_2781","GCF_002934695.1_ASM293469v1_CDS_1557","GCF_002165295.2_ASM216529v2_CDS_2040","","GCF_001612555.1_ASM161255v1_CDS_1264","GCF_001696615.3_ASM169661v3_CDS_3277","GCF_002165305.2_ASM216530v2_CDS_1079"
"GCF_002165305.2_ASM216530v2_CDS_1111","persistent","","10","10","1.0","NA","NA","","","","617","620","619.1","GCF_001278715.1_ASM127871v1_CDS_0280","GCF_002165255.2_ASM216525v2_CDS_1632","GCF_001647675.1_ASM164767v1_CDS_1321","GCF_002688565.1_ASM268856v1_CDS_2265","GCF_002934695.1_ASM293469v1_CDS_1059","GCF_002165295.2_ASM216529v2_CDS_1262","GCA_001581975.1_ASM158197v1_CDS_1335","GCF_001612555.1_ASM161255v1_CDS_1304","GCF_001696615.3_ASM169661v3_CDS_0396","GCF_002165305.2_ASM216530v2_CDS_1111"
"GCF_002165305.2_ASM216530v2_CDS_1239","cloud","","1","1","1.0","NA","NA","","","","650","650","650.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1239"
"GCF_002165305.2_ASM216530v2_CDS_1271","cloud","","1","1","1.0","NA","NA","","","","743","743","743.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1271"
"GCF_002165305.2_ASM216530v2_CDS_1303","cloud","","1","1","1.0","NA","NA","","","","743","743","743.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1303"
"GCF_002165305.2_ASM216530v2_CDS_1335","cloud","","1","1","1.0","NA","NA","","","","521","521","521.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1335"
"GCF_002165305.2_ASM216530v2_CDS_1367","persistent","","7","7","1.0","NA","NA","","","","584","608","593.43","","","GCF_001647675.1_ASM164767v1_CDS_0962","GCF_002688565.1_ASM268856v1_CDS_2812","GCF_002934695.1_ASM293469v1_CDS_1592","GCF_002165295.2_ASM216529v2_CDS_1903","","GCF_001612555.1_ASM161255v1_CDS_1855","GCF_001696615.3_ASM169661v3_CDS_3238","GCF_002165305.2_ASM216530v2_CDS_1367"
"GCF_002165305.2_ASM216530v2_CDS_1431","cloud","","1","1","1.0","NA","NA","","","","731","731","731.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1431"
"GCF_002165305.2_ASM216530v2_CDS_1463","cloud","","2","2","1.0","NA","NA","","","","1166","1169","1167.5","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3295","GCF_002165305.2_ASM216530v2_CDS_1463"
"GCF_002165305.2_ASM216530v2_CDS_1527","cloud","","1","1","1.0","NA","NA","","","","359","359","359.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1527"
"GCF_002165305.2_ASM216530v2_CDS_1559","cloud","","1","1","1.0","NA","NA","","","","884","884","884.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1559"
"GCF_002165305.2_ASM216530v2_CDS_1591","cloud","","1","1","1.0","NA","NA","","","","707","707","707.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1591"
"GCF_002165305.2_ASM216530v2_CDS_1655","cloud","","1","1","1.0","NA","NA","","","","437","437","437.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1655"
"GCF_002165305.2_ASM216530v2_CDS_1687","cloud","","1","1","1.0","NA","NA","","","","428","428","428.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1687"
"GCF_002165305.2_ASM216530v2_CDS_1719","cloud","","1","1","1.0","NA","NA","","","","1559","1559","1559.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1719"
"GCF_002165305.2_ASM216530v2_CDS_1783","cloud","","1","1","1.0","NA","NA","","","","1085","1085","1085.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1783"
"GCF_002165305.2_ASM216530v2_CDS_1815","cloud","","1","1","1.0","NA","NA","","","","788","788","788.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1815"
"GCF_002165305.2_ASM216530v2_CDS_1847","cloud","","2","3","1.5","NA","NA","","","","638","638","638.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3551","GCF_002165305.2_ASM216530v2_CDS_1847" "GCF_002165305.2_ASM216530v2_CDS_3289"
"GCF_002165305.2_ASM216530v2_CDS_1879","cloud","","1","1","1.0","NA","NA","","","","1748","1748","1748.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_1879"
"GCF_002165305.2_ASM216530v2_CDS_2039","shell","","6","6","1.0","NA","NA","","","","1145","1154","1152.5","GCF_001278715.1_ASM127871v1_CDS_2480","","","GCF_002688565.1_ASM268856v1_CDS_0054","","GCF_002165295.2_ASM216529v2_CDS_1024","GCA_001581975.1_ASM158197v1_CDS_3669","","GCF_001696615.3_ASM169661v3_CDS_0939","GCF_002165305.2_ASM216530v2_CDS_2039"
"GCF_002165305.2_ASM216530v2_CDS_2071","cloud","","1","1","1.0","NA","NA","","","","1217","1217","1217.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2071"
"GCF_002165305.2_ASM216530v2_CDS_2200","cloud","","1","1","1.0","NA","NA","","","","467","467","467.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2200"
"GCF_002165305.2_ASM216530v2_CDS_2232","cloud","","1","1","1.0","NA","NA","","","","503","503","503.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2232"
"GCF_002165305.2_ASM216530v2_CDS_2392","cloud","","1","1","1.0","NA","NA","","","","110","110","110.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2392"
"GCF_002165305.2_ASM216530v2_CDS_2456","cloud","","1","1","1.0","NA","NA","","","","497","497","497.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2456"
"GCF_002165305.2_ASM216530v2_CDS_2488","persistent","","8","8","1.0","NA","NA","","","","1481","1532","1521.88","GCF_001278715.1_ASM127871v1_CDS_0868","","GCF_001647675.1_ASM164767v1_CDS_0542","GCF_002688565.1_ASM268856v1_CDS_0325","GCF_002934695.1_ASM293469v1_CDS_2133","GCF_002165295.2_ASM216529v2_CDS_2633","","GCF_001612555.1_ASM161255v1_CDS_0725","GCF_001696615.3_ASM169661v3_CDS_2594","GCF_002165305.2_ASM216530v2_CDS_2488"
"GCF_002165305.2_ASM216530v2_CDS_2520","cloud","","1","1","1.0","NA","NA","","","","3092","3092","3092.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2520"
"GCF_002165305.2_ASM216530v2_CDS_2552","cloud","","1","1","1.0","NA","NA","","","","473","473","473.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2552"
"GCF_002165305.2_ASM216530v2_CDS_2584","cloud","","1","1","1.0","NA","NA","","","","902","902","902.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2584"
"GCF_002165305.2_ASM216530v2_CDS_2648","cloud","","2","2","1.0","NA","NA","","","","386","392","389.0","","","","","GCF_002934695.1_ASM293469v1_CDS_0057","","","","","GCF_002165305.2_ASM216530v2_CDS_2648"
"GCF_002165305.2_ASM216530v2_CDS_2680","cloud","","1","1","1.0","NA","NA","","","","818","818","818.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2680"
"GCF_002165305.2_ASM216530v2_CDS_2712","cloud","","1","1","1.0","NA","NA","","","","884","884","884.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2712"
"GCF_002165305.2_ASM216530v2_CDS_2744","cloud","","1","1","1.0","NA","NA","","","","428","428","428.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2744"
"GCF_002165305.2_ASM216530v2_CDS_2808","cloud","","1","1","1.0","NA","NA","","","","1211","1211","1211.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2808"
"GCF_002165305.2_ASM216530v2_CDS_2904","cloud","","1","1","1.0","NA","NA","","","","884","884","884.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_2904"
"GCF_002165305.2_ASM216530v2_CDS_3000","cloud","","1","1","1.0","NA","NA","","","","554","554","554.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3000"
"GCF_002165305.2_ASM216530v2_CDS_3064","cloud","","4","4","1.0","NA","NA","","","","260","260","260.0","","","","GCF_002688565.1_ASM268856v1_CDS_0496","","","","GCF_001612555.1_ASM161255v1_CDS_2669","GCF_001696615.3_ASM169661v3_CDS_2357","GCF_002165305.2_ASM216530v2_CDS_3064"
"GCF_002165305.2_ASM216530v2_CDS_3128","cloud","","1","1","1.0","NA","NA","","","","395","395","395.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3128"
"GCF_002165305.2_ASM216530v2_CDS_3160","cloud","","1","1","1.0","NA","NA","","","","767","767","767.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3160"
"GCF_002165305.2_ASM216530v2_CDS_3192","cloud","","1","1","1.0","NA","NA","","","","326","326","326.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3192"
"GCF_002165305.2_ASM216530v2_CDS_3224","cloud","","1","1","1.0","NA","NA","","","","386","386","386.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3224"
"GCF_002165305.2_ASM216530v2_CDS_3256","cloud","","1","1","1.0","NA","NA","","","","1115","1115","1115.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3256"
"GCF_002165305.2_ASM216530v2_CDS_3320","cloud","","1","1","1.0","NA","NA","","","","1193","1193","1193.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3320"
